second,avg_latency_ms_etcdv3_nocompression,throughput_etcdv3_nocompression,cumulative_throughput_etcdv3_nocompression,avg_cpu_etcdv3_nocompression,avg_memory_mb_etcdv3_nocompression,avg_latency_ms_etcdv3_snappy,throughput_etcdv3_snappy,cumulative_throughput_etcdv3_snappy,avg_cpu_etcdv3_snappy,avg_memory_mb_etcdv3_snappy
196,777.329394,1300,250595,293.87,1803.60,850.582312,1162,220030,447.09,1553.70
197,781.066048,1295,251890,293.93,1803.60,853.031283,1148,221178,447.16,1553.70
198,788.785856,1240,253130,294.00,1803.60,828.895252,1074,222252,447.36,1553.70
199,794.206927,1326,254456,294.04,1804.90,832.691691,1231,223483,447.45,1553.70
200,746.173016,1256,255712,294.11,1804.90,856.633016,1143,224626,447.49,1557.57
201,799.709206,1291,257003,294.19,1804.90,855.058099,1120,225746,447.77,1557.57
202,783.954813,1215,258218,294.24,1804.90,816.545040,1131,226877,447.89,1557.57
203,791.922605,1293,259511,294.25,1804.90,844.907983,1175,228052,448.08,1557.57
204,783.572551,1264,260775,294.28,1804.90,847.552636,1153,229205,448.21,1557.57
205,793.277648,1282,262057,294.34,1804.90,852.989615,1136,230341,448.28,1557.57
206,762.121978,1308,263365,294.39,1804.90,847.716352,1144,231485,448.40,1557.57
207,785.486298,1259,264624,294.48,1804.91,849.229842,1137,232622,448.50,1557.57
208,776.594064,1288,265912,294.57,1804.91,848.082047,1147,233769,448.58,1557.57
209,759.552104,1280,267192,294.62,1804.91,789.613575,1146,234915,448.74,1557.57
210,798.023124,1246,268438,294.64,1804.91,884.687452,1181,236096,448.86,1557.57
211,801.165135,1281,269719,294.68,1804.91,837.246239,1128,237224,449.04,1557.57
212,774.999031,1262,270981,294.73,1804.91,850.580385,1136,238360,449.06,1557.57
213,788.896792,1306,272287,294.80,1804.91,837.460973,1133,239493,449.08,1557.57
214,753.318767,1253,273540,294.81,1804.91,829.796796,1127,240620,449.21,1557.57
215,775.347358,1308,274848,294.89,1804.91,823.385529,1147,241767,449.33,1557.57
216,784.387583,1256,276104,294.94,1804.91,850.788595,1100,242867,449.37,1557.57
217,793.650624,1268,277372,295.06,1804.91,877.151895,1126,243993,449.36,1557.57
218,784.065693,1281,278653,295.16,1804.91,827.411706,1131,245124,449.55,1557.57
219,785.717689,1286,279939,295.25,1804.91,856.326609,1184,246308,449.59,1563.97
220,771.711395,1246,281185,295.38,1804.91,818.202706,1100,247408,449.70,1564.06
221,788.038449,1309,282494,295.46,1804.91,905.879447,1178,248586,449.70,1564.06
222,755.434656,1286,283780,295.60,1804.91,824.199383,1143,249729,449.72,1564.06
223,796.923698,1242,285022,295.77,1804.91,884.111842,1135,250864,449.80,1564.06
