second,avg_latency_ms_etcdv3,throughput_etcdv3,cumulative_throughput_etcdv3,avg_cpu_etcdv3,avg_memory_mb_etcdv3,avg_latency_ms_etcdv3_after_patch,throughput_etcdv3_after_patch,cumulative_throughput_etcdv3_after_patch,avg_cpu_etcdv3_after_patch,avg_memory_mb_etcdv3_after_patch,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
149,59.551904,15388,2620017,275.27,1358.94,71.642773,12048,2871090,262.06,1468.24,,,,,
150,63.318247,17170,2637187,275.49,1365.41,27.843096,19288,2890378,262.13,1474.45,,,,,
151,76.704005,11891,2649078,276.22,1371.37,65.330400,8603,2898981,262.43,2025.32,,,,,
152,76.417686,14329,2663407,277.12,1382.04,34.044670,26262,2925243,262.95,2128.10,,,,,
153,60.885534,15600,2679007,277.59,1389.31,70.764772,7656,2932899,262.64,2131.20,,,,,
154,69.099903,15284,2694291,278.35,1396.72,130.155369,6106,2939005,262.97,2141.81,,,,,
155,64.142278,14874,2709165,278.56,1400.25,22.526212,26671,2965676,263.67,2160.04,,,,,
156,222.602783,2518,2711683,278.58,1401.84,63.348141,11555,2977231,264.21,2168.79,,,,,
157,55.581527,25546,2737229,279.69,1415.77,23.537577,22103,2999334,264.40,2171.32,,,,,
158,144.864942,7232,2744461,280.20,1418.58,534.180543,333,2999667,263.43,2171.39,,,,,
159,36.035541,24767,2769228,281.51,1430.00,27898.509820,333,,,,,,,,
160,70.314120,15730,2784958,281.29,1432.74,,,,,,,,,,
161,65.657536,14769,2799727,282.19,1443.43,,,,,,,,,,
162,73.643468,12386,2812113,283.01,1450.20,,,,,,,,,,
163,46.252420,18077,2830190,283.43,1456.03,,,,,,,,,,
164,88.607212,12569,2842759,283.97,1460.46,,,,,,,,,,
165,46.837774,16649,2859408,283.54,1463.72,,,,,,,,,,
166,162.111633,8481,2867889,284.46,1476.06,,,,,,,,,,
167,62.584372,15918,2883807,284.73,1481.34,,,,,,,,,,
168,70.327421,14285,2898092,285.56,1488.37,,,,,,,,,,
169,66.286117,14954,2913046,286.01,1496.72,,,,,,,,,,
170,73.407187,13714,2926760,285.69,1498.34,,,,,,,,,,
171,68.546698,14201,2940961,286.56,1508.33,,,,,,,,,,
172,73.273099,13786,2954747,286.80,1513.60,,,,,,,,,,
173,85.548451,11718,2966465,287.55,1521.51,,,,,,,,,,
174,71.986062,13790,2980255,287.96,1529.03,,,,,,,,,,
175,80.342924,12462,,,,,,,,,,,,,
176,36.662475,7283,,,,,,,,,,,,,
