second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_cgzip,throughput_etcd_v3_cgzip,cumulative_throughput_etcd_v3_cgzip,avg_cpu_etcd_v3_cgzip,avg_memory_mb_etcd_v3_cgzip,avg_latency_ms_etcd_v3_cgzip_lv2,throughput_etcd_v3_cgzip_lv2,cumulative_throughput_etcd_v3_cgzip_lv2,avg_cpu_etcd_v3_cgzip_lv2,avg_memory_mb_etcd_v3_cgzip_lv2,avg_latency_ms_etcd_v3_gzip,throughput_etcd_v3_gzip,cumulative_throughput_etcd_v3_gzip,avg_cpu_etcd_v3_gzip,avg_memory_mb_etcd_v3_gzip,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_snappy_cpp,throughput_etcd_v3_snappy_cpp,cumulative_throughput_etcd_v3_snappy_cpp,avg_cpu_etcd_v3_snappy_cpp,avg_memory_mb_etcd_v3_snappy_cpp
52,34.661883,28758,1541855,389.53,623.63,68.253300,14231,708574,401.52,352.09,65.839573,14267,719466,396.02,353.49,166.103900,6159,318305,110.45,204.58,36.394739,26633,1422515,406.91,593.31,63.451688,14617,906504,390.47,410.89
53,35.124773,28289,1570144,390.83,637.00,66.887682,14138,722712,402.78,357.36,71.655940,13331,732797,397.31,360.11,165.482365,5934,324239,110.97,208.04,40.809797,26070,1448585,407.60,605.00,65.542248,15300,921804,391.20,417.38
54,36.521522,27537,1597681,391.98,646.70,74.708032,12562,735274,403.77,362.76,74.224352,12490,745287,397.80,362.15,165.586471,6171,330410,111.72,211.82,37.739839,26221,1474806,408.37,613.93,68.704612,14829,936633,391.70,422.31
55,31.832036,29212,1626893,392.42,654.35,74.043006,12722,747996,404.23,365.65,73.414599,12671,757958,398.78,370.47,164.650751,5912,336322,112.34,215.10,35.498088,26732,1501538,409.62,618.47,56.883692,17222,953855,392.21,427.37
56,33.517393,30706,1657599,393.39,662.24,67.844319,13162,761158,405.09,372.16,72.504953,13119,771077,399.52,375.02,163.875113,6232,342554,112.94,215.60,36.870463,26630,1528168,410.83,628.35,60.394052,15436,969291,393.05,435.04
57,34.989273,29360,1686959,394.72,674.72,73.366247,13255,774413,405.83,376.55,75.053474,12892,783969,400.33,380.44,165.108025,5967,348521,113.51,217.64,36.620901,27358,1555526,411.19,641.25,61.509239,16069,985360,393.69,440.91
58,34.015268,28128,1715087,395.30,686.59,69.403117,13765,788178,406.89,382.90,79.566581,11201,795170,400.85,384.23,166.272062,5924,354445,114.11,221.21,38.728298,26094,1581620,412.05,654.82,63.819035,15255,1000615,394.44,449.57
59,37.214138,27821,1742908,396.54,696.74,68.420629,13249,801427,407.96,387.86,70.204907,13642,808812,402.26,388.39,166.607919,6002,360447,114.49,223.60,39.776834,25362,1606982,412.98,660.40,58.573848,17403,1018018,395.18,456.08
60,33.353937,29531,1772439,396.96,705.92,71.150435,13024,814451,408.93,391.63,73.966691,12508,821320,402.51,394.74,167.667872,5903,366350,114.99,229.16,36.441013,26528,1633510,413.97,670.42,76.705039,12896,1030914,395.60,458.97
61,36.699995,27409,1799848,397.71,716.55,77.545210,12708,827159,409.98,398.95,71.834211,13098,834418,403.32,399.21,167.578540,6076,372426,115.44,232.00,39.354463,25647,1659157,415.02,681.95,58.925347,16410,1047324,395.90,462.75
