second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_lz4,throughput_etcd_v3_lz4,cumulative_throughput_etcd_v3_lz4,avg_cpu_etcd_v3_lz4,avg_memory_mb_etcd_v3_lz4
172,127.623904,9,1736,11.49,4400.24,187.200544,6,1792,11.21,4529.42,142.194901,7,1642,12.04,4248.26
173,123.896230,9,1745,11.47,4407.05,167.681056,6,1798,11.21,4546.12,105.591524,8,1650,12.04,4279.61
174,125.864896,6,1751,11.46,4413.74,149.844958,7,1805,11.20,4572.89,123.672779,9,1659,12.03,4303.77
175,127.893542,9,1760,11.45,4419.91,114.129543,7,1812,11.18,4608.87,153.384172,7,1666,12.02,4336.97
176,135.809881,8,1768,11.43,4425.99,208.652596,5,1817,11.16,4629.85,104.986494,8,1674,12.02,4376.65
177,113.573467,7,1775,11.42,4435.16,155.556506,7,1824,11.15,4634.86,123.852663,9,1683,12.01,4420.31
178,127.682083,9,1784,11.40,4441.68,134.096100,8,1832,11.13,4639.67,126.565154,6,1689,12.01,4462.16
179,134.580698,8,1792,11.38,4449.96,125.796181,6,1838,11.11,4645.97,128.486286,9,1698,12.00,4496.55
180,113.546672,7,1799,11.36,4455.37,123.737979,9,1847,11.10,4651.10,124.555489,9,1707,12.00,4523.34
181,128.001029,9,1808,11.35,4461.08,138.800902,8,1855,11.08,4659.48,126.101325,6,1713,11.99,4558.54
182,148.355382,7,1815,11.33,4471.09,113.214807,7,1862,11.07,4666.63,128.565536,9,1722,11.99,4569.30
183,105.918386,8,1823,11.32,4489.86,131.279849,8,1870,11.05,4673.22,134.117232,8,1730,11.97,4579.26
184,127.910459,9,1832,11.31,4515.71,123.413681,9,1879,11.04,4682.61,114.561093,7,1737,11.96,4585.58
185,146.000694,7,1839,11.30,4549.70,150.870969,7,1886,11.03,4696.99,131.336689,8,1745,11.95,4592.00
186,113.098441,7,1846,11.30,4578.13,104.857969,8,1894,11.02,4723.78,127.727820,9,1754,11.94,4597.57
187,123.680308,9,1855,11.30,4619.51,123.539035,9,1903,11.02,4744.12,125.925599,6,1760,11.93,4608.57
188,150.734059,7,1862,11.30,4640.17,126.091878,6,1909,11.01,4766.02,134.702265,8,1768,11.94,4642.61
