second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
93,,,,,,53.378275,378,1858031,226.03,2265.91,,,,,,,,,,
94,,,,,,1962.330406,289,1858320,224.54,2265.91,,,,,,,,,,
95,,,,,,0.000000,0,1858320,223.72,2262.64,,,,,,,,,,
96,,,,,,0.000000,0,1858320,222.46,2262.64,,,,,,,,,,
97,,,,,,0.000000,0,1858320,221.83,2262.64,,,,,,,,,,
98,,,,,,0.000000,0,1858320,222.88,2264.39,,,,,,,,,,
99,,,,,,0.000000,0,1858320,222.30,2265.43,,,,,,,,,,
100,,,,,,0.000000,0,1858320,220.94,2283.72,,,,,,,,,,
101,,,,,,0.000000,0,1858320,219.65,2302.00,,,,,,,,,,
102,,,,,,0.000000,0,1858320,217.85,2302.00,,,,,,,,,,
103,,,,,,0.000000,0,1858320,216.95,2361.39,,,,,,,,,,
104,,,,,,0.000000,0,1858320,215.39,2366.44,,,,,,,,,,
105,,,,,,0.000000,0,1858320,215.16,2434.66,,,,,,,,,,
106,,,,,,0.000000,0,1858320,215.49,2500.74,,,,,,,,,,
107,,,,,,0.000000,0,1858320,214.30,2500.74,,,,,,,,,,
108,,,,,,0.000000,0,1858320,212.63,2500.74,,,,,,,,,,
109,,,,,,0.000000,0,1858320,210.93,2500.75,,,,,,,,,,
110,,,,,,0.000000,0,1858320,209.40,2500.70,,,,,,,,,,
111,,,,,,0.000000,0,1858320,207.87,2500.66,,,,,,,,,,
112,,,,,,0.000000,0,1858320,206.33,2500.66,,,,,,,,,,
113,,,,,,0.000000,0,1858320,205.21,2500.66,,,,,,,,,,
114,,,,,,0.000000,0,1858320,203.99,2500.66,,,,,,,,,,
115,,,,,,0.000000,0,1858320,202.39,2499.59,,,,,,,,,,
116,,,,,,0.000000,0,1858320,201.14,2499.59,,,,,,,,,,
117,,,,,,0.000000,0,1858320,199.98,2499.59,,,,,,,,,,
118,,,,,,0.000000,0,1858320,198.23,2499.60,,,,,,,,,,
119,,,,,,0.000000,0,1858320,196.71,2499.60,,,,,,,,,,
120,,,,,,0.000000,0,1858320,195.26,2501.59,,,,,,,,,,
121,,,,,,0.000000,0,1858320,194.14,2502.58,,,,,,,,,,
122,,,,,,0.000000,0,1858320,193.57,2504.46,,,,,,,,,,
123,,,,,,0.000000,0,1858320,193.24,2506.88,,,,,,,,,,
124,,,,,,0.000000,0,1858320,193.05,2505.86,,,,,,,,,,
125,,,,,,0.000000,0,1858320,192.07,2504.33,,,,,,,,,,
126,,,,,,0.000000,0,1858320,191.10,2504.03,,,,,,,,,,
127,,,,,,0.000000,0,1858320,189.87,2503.20,,,,,,,,,,
128,,,,,,0.000000,0,1858320,188.65,2502.38,,,,,,,,,,
129,,,,,,0.000000,0,1858320,187.60,2504.05,,,,,,,,,,
130,,,,,,0.000000,0,1858320,186.33,2505.73,,,,,,,,,,
131,,,,,,0.000000,0,1858320,185.30,2505.73,,,,,,,,,,
132,,,,,,0.000000,0,1858320,184.76,2505.58,,,,,,,,,,
133,,,,,,0.000000,0,1858320,183.57,2505.44,,,,,,,,,,
134,,,,,,0.000000,0,1858320,182.32,2505.77,,,,,,,,,,
135,,,,,,0.000000,0,1858320,181.04,2506.10,,,,,,,,,,
136,,,,,,0.000000,0,1858320,179.82,2506.10,,,,,,,,,,
137,,,,,,0.000000,0,1858320,178.60,2505.76,,,,,,,,,,
138,,,,,,0.000000,0,1858320,177.36,2505.05,,,,,,,,,,
139,,,,,,0.000000,0,1858320,176.17,2504.67,,,,,,,,,,
140,,,,,,0.000000,0,1858320,175.17,2506.09,,,,,,,,,,
141,,,,,,1900.558856,216,1858536,174.54,2508.95,,,,,,,,,,
142,,,,,,0.000000,0,1858536,174.08,2523.08,,,,,,,,,,
