second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
145,101.089734,9897,1086808,203.23,1875.61,652.357941,442,391956,128.77,2489.26,,,,,,132.281829,22936,1942899,162.23,2613.51
146,125.395312,7697,1094505,203.28,1898.79,362.695099,1806,393762,128.09,2489.26,,,,,,34.989359,24672,1967571,162.83,2620.79
147,133.773736,7225,1101730,203.12,1903.96,443.444030,656,394418,128.13,2489.26,,,,,,1010.124599,23,,,
148,149.829792,7045,1108775,203.40,1922.96,382.475720,1069,395487,128.15,2489.26,,,,,,,,,,
149,100.845848,10076,1118851,203.52,1926.42,307.510107,1584,397071,128.55,2489.26,,,,,,,,,,
150,100.562718,9688,1128539,203.54,1929.99,297.832812,1434,398505,129.21,2489.26,,,,,,,,,,
151,142.432983,6964,1135503,203.53,1953.07,357.835551,1695,400200,128.86,2489.26,,,,,,,,,,
152,119.038883,8418,1143921,203.53,1956.54,377.750894,1438,401638,128.44,2489.26,,,,,,,,,,
153,187.632433,5421,1149342,203.47,1975.86,222.114306,1661,403299,128.03,2489.26,,,,,,,,,,
154,117.395367,8478,1157820,203.65,1978.56,342.557498,1544,404843,127.95,2489.26,,,,,,,,,,
155,123.092505,8181,1166001,203.37,1983.26,323.412033,1589,406432,128.49,2489.26,,,,,,,,,,
156,121.283423,8256,1174257,203.11,1985.32,490.768091,1056,407488,128.82,2489.26,,,,,,,,,,
157,148.284699,6575,1180832,203.06,2007.73,570.640867,956,408444,129.47,2489.26,,,,,,,,,,
158,193.219879,5230,1186062,202.98,2030.16,995.070661,13,408457,129.49,2489.26,,,,,,,,,,
159,119.966822,8275,1194337,202.88,2033.21,0.000000,0,408457,128.72,2489.26,,,,,,,,,,
160,117.258882,8778,1203115,202.60,2035.87,1238.862791,12,408469,127.96,2489.26,,,,,,,,,,
161,96.913177,10132,1213247,202.53,2040.82,632.512433,6,408475,127.22,2489.26,,,,,,,,,,
162,104.800656,9578,1222825,202.45,2044.08,486.636117,8,408483,126.47,2489.26,,,,,,,,,,
163,230.678826,4281,1227106,202.71,2089.94,798.432486,10,408493,125.75,2489.26,,,,,,,,,,
164,104.473621,9695,1236801,202.79,2092.65,302.796375,3,408496,125.03,2489.26,,,,,,,,,,
165,99.296391,10015,1246816,202.73,2096.29,0.000000,0,408496,124.31,2489.26,,,,,,,,,,
166,98.023130,10333,1257149,202.69,2100.43,3609.845685,1,408497,123.59,2489.26,,,,,,,,,,
167,101.782987,9649,1266798,202.66,2103.86,0.000000,0,408497,122.89,2489.26,,,,,,,,,,
168,158.730074,6247,1273045,202.78,2140.62,0.000000,0,408497,122.19,2489.26,,,,,,,,,,
169,171.252528,5863,1278908,202.96,2158.60,0.000000,0,408497,121.51,2489.26,,,,,,,,,,
170,141.137323,7162,1286070,202.59,2163.22,0.000000,0,408497,120.83,2489.26,,,,,,,,,,
171,137.465794,7124,1293194,202.30,2167.17,0.000000,0,408497,120.16,2489.26,,,,,,,,,,
172,148.265078,6728,1299922,202.29,2170.60,0.000000,0,408497,119.49,2489.26,,,,,,,,,,
173,155.761717,6443,1306365,201.90,2178.82,0.000000,0,408497,118.84,2489.26,,,,,,,,,,
174,168.267787,6123,1312488,201.92,2200.46,0.000000,0,408497,118.19,2489.26,,,,,,,,,,
175,164.733572,5961,1318449,202.08,2221.93,0.000000,0,408497,117.55,2489.26,,,,,,,,,,
176,151.195531,6524,1324973,201.84,2225.80,0.000000,0,408497,116.92,2489.26,,,,,,,,,,
177,143.839437,7037,1332010,201.73,2229.87,0.000000,0,408497,116.29,2489.26,,,,,,,,,,
178,117.172530,8661,1340671,202.11,2234.83,0.000000,0,408497,115.67,2489.26,,,,,,,,,,
179,153.766260,6223,1346894,202.37,2290.50,0.000000,0,408497,115.05,2489.26,,,,,,,,,,
180,175.134098,5899,1352793,202.92,2301.25,0.000000,0,408497,114.44,2489.26,,,,,,,,,,
181,112.302574,8855,1361648,203.03,2304.78,232.242236,2670,411167,114.05,2489.26,,,,,,,,,,
182,241.990131,3537,1365185,202.89,2309.84,75.940834,12141,423308,114.00,2489.26,,,,,,,,,,
183,469.583573,2001,1367186,202.46,2311.03,83.441559,10113,433421,115.18,2489.26,,,,,,,,,,
184,531.540849,1930,1369116,202.02,2332.38,152.224509,3516,436937,116.67,2489.82,,,,,,,,,,
185,520.851788,1435,1370551,202.00,2366.41,97.665199,11730,448667,119.10,2490.78,,,,,,,,,,
186,507.435939,2683,1373234,202.35,2388.18,204.096188,4629,453296,121.69,2492.83,,,,,,,,,,
187,366.573121,679,1373913,201.94,2651.61,79.533564,3816,457112,124.03,2708.48,,,,,,,,,,
188,0.000000,0,1373913,201.29,3096.55,119.232653,5325,462437,126.65,2710.38,,,,,,,,,,
189,2546.111222,5,1373918,200.60,3192.60,274.942647,3311,465748,129.13,2748.53,,,,,,,,,,
190,3395.572421,530,1374448,200.10,3381.81,116.811520,6837,472585,131.45,3034.90,,,,,,,,,,
191,3269.068109,790,1375238,200.15,3464.87,80.247940,7555,480140,133.74,3034.90,,,,,,,,,,
192,1569.946913,319,1375557,199.80,3548.93,439.514280,2528,482668,135.92,3038.27,,,,,,,,,,
193,1273.234934,962,1376519,199.47,3673.62,121.215344,7105,489773,137.75,3151.15,,,,,,,,,,
194,891.666337,1740,1378259,199.62,3676.30,174.366894,3014,492787,140.07,3242.50,,,,,,,,,,
195,636.340601,1087,1379346,199.28,3676.30,168.754647,3725,496512,142.42,3314.17,,,,,,,,,,
196,1143.825636,708,1380054,199.22,3676.30,160.867895,7804,504316,144.08,3314.34,,,,,,,,,,
197,1862.029485,284,1380338,198.54,3676.30,132.829137,4367,508683,146.22,3315.20,,,,,,,,,,
198,2233.052477,306,1380644,197.92,3676.30,241.211744,4503,513186,148.03,3315.20,,,,,,,,,,
199,2750.749430,261,1380905,197.27,3676.30,135.575791,2803,515989,150.14,3422.83,,,,,,,,,,
200,3323.733582,279,1381184,196.60,3676.30,212.195890,4327,520316,152.22,3422.83,,,,,,,,,,
201,3549.508765,266,1381450,195.94,3676.30,410.131555,1119,521435,153.47,3423.01,,,,,,,,,,
202,3638.630636,324,1381774,195.30,3676.30,453.529950,336,521771,154.82,3423.78,,,,,,,,,,
203,3637.938917,260,1382034,194.58,3676.30,464.950881,1244,523015,156.00,3423.78,,,,,,,,,,
204,3711.012960,215,1382249,193.96,3676.30,620.070823,669,523684,156.75,3423.83,,,,,,,,,,
205,3790.157415,330,1382579,193.38,3676.30,0.000000,0,523684,157.31,3423.83,,,,,,,,,,
206,3923.125440,197,1382776,193.44,3676.30,0.000000,0,523684,157.04,3423.83,,,,,,,,,,
207,3762.503388,325,1383101,192.87,3676.30,0.000000,0,523684,156.49,3488.96,,,,,,,,,,
208,3820.989732,213,1383314,192.19,3676.30,0.000000,0,523684,155.94,3495.78,,,,,,,,,,
209,3833.654848,137,1383451,191.64,3676.30,0.000000,0,523684,155.59,3566.34,,,,,,,,,,
210,4263.985696,1,1383452,190.94,3676.30,0.000000,0,523684,155.35,3636.73,,,,,,,,,,
211,0.000000,0,1383452,190.24,3676.30,0.000000,0,523684,154.75,3636.73,,,,,,,,,,
212,0.000000,0,1383452,189.72,3676.30,0.000000,0,523684,154.10,3636.73,,,,,,,,,,
213,7715.875142,64,1383516,189.03,3676.30,0.000000,0,523684,153.46,3636.73,,,,,,,,,,
214,0.000000,0,1383516,188.34,3676.30,0.000000,0,523684,152.79,3636.73,,,,,,,,,,
215,0.000000,0,1383516,187.84,3676.30,0.000000,0,523684,151.95,3636.73,,,,,,,,,,
216,0.000000,0,1383516,187.26,3676.30,0.000000,0,523684,151.27,3636.73,,,,,,,,,,
217,0.000000,0,1383516,186.73,3676.30,112.774743,430,524114,150.64,3636.73,,,,,,,,,,
218,0.000000,0,1383516,186.34,3676.30,130.286244,2808,526922,150.38,3636.88,,,,,,,,,,
219,13738.563169,65,1383581,185.67,3676.38,285.180179,1709,528631,150.33,3636.88,,,,,,,,,,
