second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
220,0.000000,0,1383581,185.01,3676.38,229.496658,1998,530629,150.36,3636.97,,,,,,,,,,
221,0.000000,0,1383581,184.35,3676.38,215.690380,1854,532483,150.39,3637.14,,,,,,,,,,
222,15781.411624,1,1383582,183.80,3676.46,257.436833,1688,534171,150.81,3637.14,,,,,,,,,,
223,0.000000,0,1383582,183.50,3677.09,357.223100,1747,535918,150.86,3638.50,,,,,,,,,,
224,0.000000,0,1383582,182.73,3677.17,307.476742,1153,537071,150.70,3638.50,,,,,,,,,,
225,0.000000,0,1383582,181.97,3677.26,257.624713,2047,539118,150.72,3638.50,,,,,,,,,,
226,20508.232842,63,1383645,181.22,3677.35,340.282955,1695,540813,150.74,3638.50,,,,,,,,,,
227,0.000000,0,1383645,180.39,3677.35,271.483308,1653,542466,151.33,3638.50,,,,,,,,,,
228,21840.882327,196,1383841,179.43,3677.35,363.918580,1190,543656,151.44,3638.50,,,,,,,,,,
229,21866.331719,261,1384102,178.72,3677.35,439.458018,1324,544980,151.78,3672.83,,,,,,,,,,
230,21887.031782,212,1384314,178.33,3677.35,465.794010,1079,546059,151.60,3672.83,,,,,,,,,,
231,18648.603842,266,1384580,177.65,3677.35,512.349741,1265,547324,151.51,3672.83,,,,,,,,,,
232,4501.057452,197,1384777,176.97,3677.35,416.078684,1285,548609,151.48,3672.83,,,,,,,,,,
233,4139.274308,323,1385100,176.29,3677.35,392.391586,881,549490,151.44,3672.83,,,,,,,,,,
234,4179.247889,152,1385252,175.62,3677.45,810.014593,574,550064,151.54,3672.83,,,,,,,,,,
235,4261.954415,264,1385516,175.64,3691.06,0.000000,0,550064,151.71,3672.83,,,,,,,,,,
236,4197.254393,260,1385776,175.24,3694.48,0.000000,0,550064,151.42,3672.83,,,,,,,,,,
237,4337.190882,258,1386034,174.58,3694.48,0.000000,0,550064,150.81,3672.83,,,,,,,,,,
238,4353.324177,133,1386167,173.93,3694.64,0.000000,0,550064,150.20,3672.92,,,,,,,,,,
239,4367.131918,237,1386404,173.29,3694.64,0.000000,0,550064,149.63,3672.92,,,,,,,,,,
240,4449.174254,233,1386637,172.65,3694.64,0.000000,0,550064,148.98,3672.92,,,,,,,,,,
241,4536.018077,207,1386844,172.23,3698.27,0.000000,0,550064,148.42,3672.92,,,,,,,,,,
242,4515.898084,258,1387102,171.64,3698.43,0.000000,0,550064,147.90,3672.92,,,,,,,,,,
243,4540.158683,212,1387314,171.02,3698.43,0.000000,0,550064,147.36,3672.92,,,,,,,,,,
244,4537.070565,204,1387518,170.40,3698.43,0.000000,0,550064,146.79,3672.92,,,,,,,,,,
245,4504.883841,258,1387776,170.07,3698.43,0.000000,0,550064,146.23,3672.92,,,,,,,,,,
246,4567.778476,136,1387912,169.82,3698.59,0.000000,0,550064,145.61,3672.92,,,,,,,,,,
247,4691.496893,257,1388169,169.50,3699.99,0.000000,0,550064,144.88,3672.92,,,,,,,,,,
248,4714.404484,172,1388341,168.89,3699.99,0.000000,0,550064,144.35,3672.92,,,,,,,,,,
249,4749.902415,242,1388583,168.30,3699.99,0.000000,0,550064,143.84,3672.92,,,,,,,,,,
250,4767.612497,195,1388778,167.69,3699.99,0.000000,0,550064,143.35,3672.92,,,,,,,,,,
251,4774.581344,135,1388913,167.09,3699.99,0.000000,0,550064,142.73,3672.92,,,,,,,,,,
252,5050.757206,194,1389107,166.49,3699.99,0.000000,0,550064,142.33,3672.92,,,,,,,,,,
253,5053.344113,234,1389341,166.16,3700.95,123.976857,2552,552616,142.12,3673.00,,,,,,,,,,
254,5077.191842,241,1389582,165.58,3700.95,363.582181,182,,,,,,,,,,,,,
255,5098.694224,194,1389776,165.00,3700.95,,,,,,,,,,,,,,,
256,5178.196175,137,1389913,164.74,3700.95,,,,,,,,,,,,,,,
257,5173.012073,190,1390103,164.16,3700.95,,,,,,,,,,,,,,,
258,5161.612813,212,1390315,163.92,3700.95,,,,,,,,,,,,,,,
259,5218.743198,201,1390516,163.61,3700.95,,,,,,,,,,,,,,,
260,5316.012710,195,1390711,163.04,3700.95,,,,,,,,,,,,,,,
261,5355.676918,138,1390849,162.48,3700.95,,,,,,,,,,,,,,,
262,5379.210072,251,1391100,161.92,3700.95,,,,,,,,,,,,,,,
263,5362.052804,88,1391188,161.36,3700.95,,,,,,,,,,,,,,,
264,5395.968640,220,1391408,160.81,3701.12,,,,,,,,,,,,,,,
265,5403.801971,240,1391648,160.27,3701.12,,,,,,,,,,,,,,,
266,5350.623831,138,1391786,159.72,3701.37,,,,,,,,,,,,,,,
267,5387.563257,194,1391980,159.48,3701.46,,,,,,,,,,,,,,,
268,5341.742183,197,1392177,159.17,3701.46,,,,,,,,,,,,,,,
269,5513.234679,165,1392342,158.99,3701.46,,,,,,,,,,,,,,,
270,5448.327039,240,1392582,158.49,3701.50,,,,,,,,,,,,,,,
271,5381.333465,194,1392776,157.96,3701.50,,,,,,,,,,,,,,,
272,5338.939971,77,1392853,157.55,3701.50,,,,,,,,,,,,,,,
273,5386.457732,255,1393108,157.15,3701.50,,,,,,,,,,,,,,,
274,5268.364791,209,1393317,156.64,3701.50,,,,,,,,,,,,,,,
275,5392.928919,94,1393411,156.13,3701.50,,,,,,,,,,,,,,,
276,5452.551627,237,1393648,155.68,3701.50,,,,,,,,,,,,,,,
277,5541.426854,197,1393845,155.48,3702.47,,,,,,,,,,,,,,,
278,5539.572308,135,1393980,155.12,3702.47,,,,,,,,,,,,,,,
279,5614.466108,197,1394177,154.62,3702.47,,,,,,,,,,,,,,,
280,5836.267963,165,1394342,154.12,3702.47,,,,,,,,,,,,,,,
281,5801.294382,132,1394474,153.91,3702.47,,,,,,,,,,,,,,,
282,5853.056484,176,1394650,153.44,3702.47,,,,,,,,,,,,,,,
283,5930.524580,196,1394846,152.95,3702.47,,,,,,,,,,,,,,,
284,5862.377594,199,1395045,152.46,3702.47,,,,,,,,,,,,,,,
285,5759.678667,133,1395178,152.19,3702.47,,,,,,,,,,,,,,,
286,5690.962263,164,1395342,151.72,3702.47,,,,,,,,,,,,,,,
287,5863.097139,133,1395475,151.25,3702.47,,,,,,,,,,,,,,,
288,6004.878397,177,1395652,151.04,3702.47,,,,,,,,,,,,,,,
289,5959.978755,194,1395846,150.58,3702.47,,,,,,,,,,,,,,,
290,5966.825268,199,1396045,150.11,3702.47,,,,,,,,,,,,,,,
291,5965.158692,133,1396178,149.64,3702.47,,,,,,,,,,,,,,,
292,6078.491618,164,1396342,149.29,3702.47,,,,,,,,,,,,,,,
293,6075.171334,133,1396475,148.99,3702.47,,,,,,,,,,,,,,,
294,6078.431560,177,1396652,148.74,3703.86,,,,,,,,,,,,,,,
295,6002.696953,224,1396876,148.28,3703.86,,,,,,,,,,,,,,,
296,4086.695254,708,1397584,147.84,3703.86,,,,,,,,,,,,,,,
297,2289.884682,262,1397846,147.40,3703.86,,,,,,,,,,,,,,,
298,2280.398630,354,1398200,146.96,3703.86,,,,,,,,,,,,,,,
299,2802.064985,455,1398655,146.80,3703.86,,,,,,,,,,,,,,,
300,2428.157947,417,1399072,146.37,3703.86,,,,,,,,,,,,,,,
301,2326.076507,368,1399440,145.94,3703.86,,,,,,,,,,,,,,,
302,2518.787857,474,1399914,145.52,3703.86,,,,,,,,,,,,,,,
303,2485.811925,353,1400267,145.56,3710.63,,,,,,,,,,,,,,,
304,2391.610972,477,1400744,145.18,3710.63,,,,,,,,,,,,,,,
305,2374.400809,392,1401136,144.76,3710.63,,,,,,,,,,,,,,,
306,2534.250451,368,1401504,144.35,3710.63,,,,,,,,,,,,,,,
307,2517.488508,404,1401908,143.94,3710.63,,,,,,,,,,,,,,,
308,2589.891464,358,1402266,143.52,3710.63,,,,,,,,,,,,,,,
309,2834.833295,303,1402569,143.18,3710.63,,,,,,,,,,,,,,,
310,2832.543109,339,1402908,142.97,3710.63,,,,,,,,,,,,,,,
311,2782.711092,425,1403333,142.56,3710.63,,,,,,,,,,,,,,,
312,2582.352267,375,1403708,142.17,3713.07,,,,,,,,,,,,,,,
313,2715.455282,361,1404069,141.97,3720.50,,,,,,,,,,,,,,,
314,2699.436344,374,1404443,141.85,3720.50,,,,,,,,,,,,,,,
315,2810.505681,265,1404708,141.46,3720.50,,,,,,,,,,,,,,,
316,2753.912813,427,1405135,141.06,3720.50,,,,,,,,,,,,,,,
317,2763.512760,310,1405445,140.67,3720.50,,,,,,,,,,,,,,,
318,2802.257834,436,1405881,140.28,3720.50,,,,,,,,,,,,,,,
319,2754.751879,384,1406265,139.90,3720.59,,,,,,,,,,,,,,,
320,2742.481754,311,1406576,139.77,3720.59,,,,,,,,,,,,,,,
321,2603.664074,438,1407014,139.39,3720.59,,,,,,,,,,,,,,,
322,2472.393010,319,1407333,139.30,3720.59,,,,,,,,,,,,,,,
323,2438.675650,548,1407881,139.26,3720.59,,,,,,,,,,,,,,,
324,2453.313438,383,1408264,139.01,3720.59,,,,,,,,,,,,,,,
325,2355.558748,379,1408643,138.73,3720.59,,,,,,,,,,,,,,,
326,2495.856827,440,1409083,138.45,3720.59,,,,,,,,,,,,,,,
327,2594.283553,430,1409513,138.18,3720.59,,,,,,,,,,,,,,,
328,2450.727489,367,1409880,137.90,3720.59,,,,,,,,,,,,,,,
329,2502.258605,385,1410265,137.87,3720.59,,,,,,,,,,,,,,,
330,2443.231427,491,1410756,137.67,3720.59,,,,,,,,,,,,,,,
331,2442.874797,395,1411151,137.68,3720.59,,,,,,,,,,,,,,,
332,2182.801331,336,1411487,137.33,3720.59,,,,,,,,,,,,,,,
333,2347.115902,469,1411956,136.96,3720.59,,,,,,,,,,,,,,,
334,2486.683261,437,1412393,136.60,3720.59,,,,,,,,,,,,,,,
335,2576.788392,419,1412812,136.25,3720.59,,,,,,,,,,,,,,,
336,2489.618433,274,1413086,135.89,3720.59,,,,,,,,,,,,,,,
337,2649.249140,433,1413519,135.54,3720.59,,,,,,,,,,,,,,,
338,2468.742985,500,1414019,135.43,3720.59,,,,,,,,,,,,,,,
339,2327.270817,374,1414393,135.09,3720.59,,,,,,,,,,,,,,,
340,2281.741034,483,1414876,134.80,3720.59,,,,,,,,,,,,,,,
341,2244.313643,341,1415217,134.85,3720.59,,,,,,,,,,,,,,,
342,2411.468602,434,1415651,134.51,3720.59,,,,,,,,,,,,,,,
343,2505.854201,371,1416022,134.16,3720.59,,,,,,,,,,,,,,,
344,2433.246821,389,1416411,133.82,3720.59,,,,,,,,,,,,,,,
345,2510.452152,499,1416910,133.48,3720.59,,,,,,,,,,,,,,,
346,2467.430256,421,1417331,133.14,3720.59,,,,,,,,,,,,,,,
347,2494.711947,278,1417609,132.80,3720.59,,,,,,,,,,,,,,,
348,2585.771224,415,1418024,132.47,3720.59,,,,,,,,,,,,,,,
349,2373.071972,438,1418462,132.37,3720.59,,,,,,,,,,,,,,,
350,2280.532881,441,1418903,132.24,3720.59,,,,,,,,,,,,,,,
351,2440.890401,426,1419329,131.91,3720.59,,,,,,,,,,,,,,,
352,2386.259695,418,1419747,131.84,3720.59,,,,,,,,,,,,,,,
353,0.000000,0,1419747,131.60,3720.59,,,,,,,,,,,,,,,
354,0.000000,0,1419747,131.35,3720.59,,,,,,,,,,,,,,,
355,0.000000,0,1419747,131.10,3720.84,,,,,,,,,,,,,,,
356,5060.111648,998,1420745,130.84,3721.20,,,,,,,,,,,,,,,
357,0.000000,0,1420745,130.82,3721.28,,,,,,,,,,,,,,,
358,0.000000,0,1420745,130.57,3721.28,,,,,,,,,,,,,,,
359,0.000000,0,1420745,130.21,3721.36,,,,,,,,,,,,,,,
360,7663.741625,2,1420747,129.96,3721.36,,,,,,,,,,,,,,,
361,0.000000,0,1420747,129.66,3721.36,,,,,,,,,,,,,,,
362,0.000000,0,1420747,129.32,3721.36,,,,,,,,,,,,,,,
363,0.000000,0,1420747,128.97,3721.36,,,,,,,,,,,,,,,
364,7228.271989,63,1420810,128.70,3721.36,,,,,,,,,,,,,,,
365,0.000000,0,1420810,128.43,3721.36,,,,,,,,,,,,,,,
366,0.000000,0,1420810,128.09,3721.36,,,,,,,,,,,,,,,
367,0.000000,0,1420810,127.76,3721.36,,,,,,,,,,,,,,,
368,0.000000,0,1420810,127.42,3721.36,,,,,,,,,,,,,,,
369,13164.708803,130,1420940,127.07,3721.36,,,,,,,,,,,,,,,
370,0.000000,0,1420940,126.81,3721.36,,,,,,,,,,,,,,,
371,0.000000,0,1420940,126.80,3721.36,,,,,,,,,,,,,,,
372,16135.354925,65,1421005,126.55,3721.36,,,,,,,,,,,,,,,
373,16887.151990,585,1421590,126.33,3721.36,,,,,,,,,,,,,,,
374,8197.481659,518,1422108,126.14,3721.36,,,,,,,,,,,,,,,
375,1662.268611,455,1422563,125.94,3721.36,,,,,,,,,,,,,,,
376,1743.176269,714,1423277,126.11,3721.36,,,,,,,,,,,,,,,
377,1761.922435,584,1423861,125.96,3721.36,,,,,,,,,,,,,,,
378,1798.965601,391,1424252,125.94,3721.36,,,,,,,,,,,,,,,
379,1768.700650,715,1424967,125.66,3721.36,,,,,,,,,,,,,,,
380,1709.712415,531,1425498,125.38,3721.36,,,,,,,,,,,,,,,
381,1810.154566,573,1426071,125.33,3721.36,,,,,,,,,,,,,,,
382,1890.895670,585,1426656,125.05,3723.83,,,,,,,,,,,,,,,
383,1791.120722,390,1427046,124.95,3745.49,,,,,,,,,,,,,,,
384,1772.145402,780,1427826,124.68,3745.49,,,,,,,,,,,,,,,
385,1570.734000,454,1428280,124.41,3745.49,,,,,,,,,,,,,,,
386,2182.269007,196,1428476,124.11,3745.49,,,,,,,,,,,,,,,
387,2726.263405,325,1428801,124.03,3745.49,,,,,,,,,,,,,,,
388,3283.723862,324,1429125,123.78,3745.49,,,,,,,,,,,,,,,
389,3349.560463,259,1429384,123.66,3745.49,,,,,,,,,,,,,,,
390,3410.603633,325,1429709,123.38,3745.49,,,,,,,,,,,,,,,
391,3368.140797,221,1429930,123.08,3745.49,,,,,,,,,,,,,,,
392,3670.410699,260,1430190,122.80,3745.49,,,,,,,,,,,,,,,
393,3726.770082,260,1430450,122.52,3745.49,,,,,,,,,,,,,,,
394,3766.554765,326,1430776,122.25,3745.49,,,,,,,,,,,,,,,
395,3714.587496,219,1430995,121.97,3745.49,,,,,,,,,,,,,,,
396,3725.728588,261,1431256,121.69,3745.49,,,,,,,,,,,,,,,
397,3843.533065,195,1431451,121.42,3745.49,,,,,,,,,,,,,,,
398,4008.744219,304,1431755,121.36,3745.49,,,,,,,,,,,,,,,
399,4032.485772,240,1431995,121.26,3745.49,,,,,,,,,,,,,,,
400,3861.237965,367,1432362,121.20,3745.49,,,,,,,,,,,,,,,
401,3062.556651,394,1432756,120.94,3745.49,,,,,,,,,,,,,,,
402,2656.243109,307,1433063,120.67,3745.49,,,,,,,,,,,,,,,
403,2658.788271,390,1433453,120.40,3745.49,,,,,,,,,,,,,,,
404,2847.183393,433,1433886,120.14,3745.49,,,,,,,,,,,,,,,
405,2895.344565,243,1434129,119.88,3745.49,,,,,,,,,,,,,,,
406,2823.240996,390,1434519,119.62,3745.49,,,,,,,,,,,,,,,
407,2970.803700,367,1434886,119.35,3745.49,,,,,,,,,,,,,,,
408,2757.068442,372,1435258,119.25,3745.49,,,,,,,,,,,,,,,
409,2755.648596,326,1435584,119.00,3745.49,,,,,,,,,,,,,,,
410,2819.683600,367,1435951,118.90,3745.49,,,,,,,,,,,,,,,
411,2835.855449,309,1436260,118.71,3745.49,,,,,,,,,,,,,,,
412,2851.082001,390,1436650,118.49,3745.49,,,,,,,,,,,,,,,
413,2755.171758,367,1437017,118.23,3745.49,,,,,,,,,,,,,,,
414,2779.915665,434,1437451,117.97,3745.49,,,,,,,,,,,,,,,
415,2755.843362,327,1437778,117.72,3745.49,,,,,,,,,,,,,,,
416,2712.954532,350,1438128,117.46,3745.49,,,,,,,,,,,,,,,
417,2743.442943,390,1438518,117.20,3745.49,,,,,,,,,,,,,,,
418,2699.658742,391,1438909,117.12,3745.49,,,,,,,,,,,,,,,
419,2782.584919,309,1439218,116.87,3745.76,,,,,,,,,,,,,,,
420,2865.973311,300,1439518,116.62,3745.76,,,,,,,,,,,,,,,
421,2846.156869,391,1439909,116.55,3745.76,,,,,,,,,,,,,,,
422,2700.285635,415,1440324,116.32,3745.76,,,,,,,,,,,,,,,
423,2596.358756,408,1440732,116.08,3745.76,,,,,,,,,,,,,,,
424,2650.522710,353,1441085,115.85,3745.76,,,,,,,,,,,,,,,
425,2620.074964,309,1441394,115.62,3745.76,,,,,,,,,,,,,,,
426,2540.314350,456,1441850,115.39,3745.76,,,,,,,,,,,,,,,
427,2385.825971,431,1442281,115.31,3745.76,,,,,,,,,,,,,,,
428,2459.427135,372,1442653,115.28,3745.76,,,,,,,,,,,,,,,
429,2613.193559,394,1443047,115.05,3745.76,,,,,,,,,,,,,,,
430,2656.527546,343,1443390,114.82,3745.76,,,,,,,,,,,,,,,
431,2675.887754,343,1443733,114.60,3745.76,,,,,,,,,,,,,,,
432,2808.341295,418,1444151,114.54,3745.76,,,,,,,,,,,,,,,
433,2779.195254,372,1444523,114.34,3745.76,,,,,,,,,,,,,,,
434,2784.969799,275,1444798,114.11,3745.76,,,,,,,,,,,,,,,
435,2886.521067,353,1445151,113.88,3745.76,,,,,,,,,,,,,,,
436,2847.100456,437,1445588,113.66,3745.76,,,,,,,,,,,,,,,
437,2797.794071,341,1445929,113.59,3745.76,,,,,,,,,,,,,,,
438,2791.611751,323,1446252,113.37,3745.76,,,,,,,,,,,,,,,
439,2897.269596,402,1446654,113.33,3745.76,,,,,,,,,,,,,,,
440,2877.027799,276,1446930,113.11,3745.76,,,,,,,,,,,,,,,
441,2921.462085,326,1447256,112.89,3745.76,,,,,,,,,,,,,,,
442,2890.687482,463,1447719,112.67,3745.76,,,,,,,,,,,,,,,
443,2823.606857,276,1447995,112.56,3745.76,,,,,,,,,,,,,,,
444,2872.947840,387,1448382,112.42,3745.76,,,,,,,,,,,,,,,
445,2858.361985,338,1448720,112.20,3745.76,,,,,,,,,,,,,,,
446,2777.532317,340,1449060,112.13,3745.76,,,,,,,,,,,,,,,
447,2757.415645,451,1449511,111.92,3745.76,,,,,,,,,,,,,,,
448,2724.556968,274,1449785,111.71,3745.76,,,,,,,,,,,,,,,
449,2727.257186,413,1450198,111.67,3745.76,,,,,,,,,,,,,,,
450,2692.242611,378,1450576,111.48,3745.76,,,,,,,,,,,,,,,
451,2722.845522,289,1450865,111.32,3745.76,,,,,,,,,,,,,,,
452,2734.592962,399,1451264,111.17,3745.76,,,,,,,,,,,,,,,
453,2771.615638,378,1451642,111.20,3745.76,,,,,,,,,,,,,,,
454,2746.157914,395,1452037,111.06,3745.76,,,,,,,,,,,,,,,
455,2618.852335,350,1452387,110.92,3745.76,,,,,,,,,,,,,,,
456,2680.891567,400,1452787,110.93,3745.76,,,,,,,,,,,,,,,
457,2670.989893,318,1453105,110.79,3745.76,,,,,,,,,,,,,,,
458,2621.500801,412,1453517,110.71,3745.76,,,,,,,,,,,,,,,
459,2747.625318,402,1453919,110.71,3745.76,,,,,,,,,,,,,,,
460,2723.850050,251,1454170,110.68,3745.76,,,,,,,,,,,,,,,
461,2720.532465,466,1454636,110.48,3745.76,,,,,,,,,,,,,,,
462,2515.818685,375,1455011,110.28,3745.76,,,,,,,,,,,,,,,
463,2667.437035,383,1455394,110.06,3745.76,,,,,,,,,,,,,,,
464,2709.945272,313,1455707,109.87,3745.76,,,,,,,,,,,,,,,
465,2653.714895,437,1456144,109.73,3745.76,,,,,,,,,,,,,,,
466,2583.964472,421,1456565,109.61,3745.76,,,,,,,,,,,,,,,
467,2549.860068,338,1456903,109.40,3745.76,,,,,,,,,,,,,,,
468,2621.829582,303,1457206,109.20,3745.76,,,,,,,,,,,,,,,
469,2719.509561,423,1457629,109.19,3745.76,,,,,,,,,,,,,,,
470,2772.943718,340,1457969,108.99,3745.76,,,,,,,,,,,,,,,
471,2748.267676,425,1458394,108.98,3745.76,,,,,,,,,,,,,,,
472,2703.185631,365,1458759,108.78,3745.76,,,,,,,,,,,,,,,
473,2700.860229,274,1459033,108.61,3745.76,,,,,,,,,,,,,,,
474,2820.568154,430,1459463,108.44,3745.76,,,,,,,,,,,,,,,
475,2734.006386,376,1459839,108.24,3745.76,,,,,,,,,,,,,,,
476,2699.031382,364,1460203,108.18,3745.76,,,,,,,,,,,,,,,
477,2704.400905,324,1460527,107.99,3745.76,,,,,,,,,,,,,,,
478,2784.414749,440,1460967,107.80,3745.76,,,,,,,,,,,,,,,
479,2693.806464,364,1461331,107.61,3745.76,,,,,,,,,,,,,,,
480,2653.330298,327,1461658,107.59,3746.78,,,,,,,,,,,,,,,
481,2672.031861,169,1461827,107.39,3746.78,,,,,,,,,,,,,,,
482,3100.031013,442,1462269,107.37,3746.78,,,,,,,,,,,,,,,
483,0.000000,0,1462269,107.17,3746.78,,,,,,,,,,,,,,,
484,4115.705662,584,1462853,106.97,3746.78,,,,,,,,,,,,,,,
485,0.000000,0,1462853,106.80,3746.78,,,,,,,,,,,,,,,
486,0.000000,0,1462853,106.61,3746.78,,,,,,,,,,,,,,,
487,0.000000,0,1462853,106.41,3746.78,,,,,,,,,,,,,,,
488,0.000000,0,1462853,106.21,3746.78,,,,,,,,,,,,,,,
489,0.000000,0,1462853,106.00,3746.78,,,,,,,,,,,,,,,
490,0.000000,0,1462853,105.79,3746.78,,,,,,,,,,,,,,,
491,0.000000,0,1462853,105.58,3746.78,,,,,,,,,,,,,,,
492,0.000000,0,1462853,105.37,3746.78,,,,,,,,,,,,,,,
493,0.000000,0,1462853,105.16,3746.78,,,,,,,,,,,,,,,
494,0.000000,0,1462853,104.96,3746.78,,,,,,,,,,,,,,,
495,0.000000,0,1462853,104.75,3746.78,,,,,,,,,,,,,,,
496,0.000000,0,1462853,104.54,3746.78,,,,,,,,,,,,,,,
497,0.000000,0,1462853,104.34,3746.78,,,,,,,,,,,,,,,
498,0.000000,0,1462853,104.14,3746.78,,,,,,,,,,,,,,,
499,0.000000,0,1462853,103.94,3746.78,,,,,,,,,,,,,,,
500,18318.269204,261,1463114,103.73,3746.78,,,,,,,,,,,,,,,
501,19556.831541,65,1463179,103.52,3746.78,,,,,,,,,,,,,,,
502,18117.575190,455,1463634,103.51,3746.78,,,,,,,,,,,,,,,
503,7720.495223,649,1464283,103.48,3746.78,,,,,,,,,,,,,,,
504,1798.402334,585,1464868,103.32,3746.78,,,,,,,,,,,,,,,
505,1757.438328,520,1465388,103.16,3746.78,,,,,,,,,,,,,,,
506,1743.960579,585,1465973,102.99,3746.78,,,,,,,,,,,,,,,
507,1770.720499,585,1466558,102.83,3746.86,,,,,,,,,,,,,,,
508,1649.047204,390,1466948,102.83,3756.65,,,,,,,,,,,,,,,
509,1835.132759,678,1467626,102.67,3756.65,,,,,,,,,,,,,,,
510,1771.411406,686,1468312,102.81,3759.90,,,,,,,,,,,,,,,
511,1602.970284,520,1468832,102.65,3759.90,,,,,,,,,,,,,,,
512,1787.577589,390,1469222,102.49,3759.90,,,,,,,,,,,,,,,
513,1951.702647,715,1469937,102.32,3759.90,,,,,,,,,,,,,,,
514,1676.238936,585,1470522,102.16,3759.90,,,,,,,,,,,,,,,
515,1601.382788,585,1471107,102.16,3759.90,,,,,,,,,,,,,,,
516,1742.302799,650,1471757,102.00,3759.90,,,,,,,,,,,,,,,
517,1696.658985,65,1471822,101.96,3759.90,,,,,,,,,,,,,,,
518,2019.348542,975,1472797,101.80,3759.90,,,,,,,,,,,,,,,
519,1354.864189,650,1473447,101.64,3759.90,,,,,,,,,,,,,,,
520,1936.246030,585,1474032,101.62,3759.90,,,,,,,,,,,,,,,
521,1696.048993,519,1474551,101.49,3759.90,,,,,,,,,,,,,,,
522,1703.446642,650,1475201,101.32,3759.90,,,,,,,,,,,,,,,
523,1582.126674,524,1475725,101.17,3759.90,,,,,,,,,,,,,,,
524,1695.888987,581,1476306,101.15,3759.90,,,,,,,,,,,,,,,
525,1755.963086,585,1476891,100.99,3759.90,,,,,,,,,,,,,,,
526,1677.670862,520,1477411,100.98,3759.90,,,,,,,,,,,,,,,
527,1803.736582,650,1478061,100.84,3759.90,,,,,,,,,,,,,,,
528,1726.051171,585,1478646,100.68,3759.90,,,,,,,,,,,,,,,
529,1755.833736,585,1479231,100.52,3759.90,,,,,,,,,,,,,,,
530,1787.466108,511,1479742,100.37,3759.90,,,,,,,,,,,,,,,
531,1676.695670,464,1480206,100.49,3762.01,,,,,,,,,,,,,,,
532,1748.289370,650,1480856,100.36,3762.01,,,,,,,,,,,,,,,
533,1667.963007,650,1481506,100.20,3762.01,,,,,,,,,,,,,,,
534,1671.270971,585,1482091,100.05,3762.01,,,,,,,,,,,,,,,
535,1738.884126,585,1482676,99.90,3762.01,,,,,,,,,,,,,,,
536,1744.156090,520,1483196,99.75,3762.01,,,,,,,,,,,,,,,
537,1840.694057,584,1483780,99.74,3762.01,,,,,,,,,,,,,,,
538,1724.692351,583,1484363,99.65,3762.01,,,,,,,,,,,,,,,
539,1657.827836,455,1484818,99.60,3762.78,,,,,,,,,,,,,,,
540,1873.898621,519,1485337,99.45,3762.78,,,,,,,,,,,,,,,
541,1739.327707,780,1486117,99.30,3762.78,,,,,,,,,,,,,,,
542,1775.859723,585,1486702,99.31,3762.78,,,,,,,,,,,,,,,
543,1617.363864,585,1487287,99.17,3762.78,,,,,,,,,,,,,,,
544,1610.388473,585,1487872,99.02,3762.78,,,,,,,,,,,,,,,
545,1862.853741,259,1488131,98.87,3762.78,,,,,,,,,,,,,,,
546,1935.146360,909,1489040,98.88,3762.78,,,,,,,,,,,,,,,
547,1432.487951,586,1489626,98.74,3762.78,,,,,,,,,,,,,,,
548,1668.800232,389,1490015,98.74,3762.78,,,,,,,,,,,,,,,
549,2157.513438,520,1490535,98.61,3762.78,,,,,,,,,,,,,,,
550,2250.611304,195,1490730,98.45,3762.78,,,,,,,,,,,,,,,
551,2375.006577,650,1491380,98.30,3762.78,,,,,,,,,,,,,,,
552,2384.313310,390,1491770,98.16,3762.78,,,,,,,,,,,,,,,
553,2241.303006,389,1492159,98.16,3762.78,,,,,,,,,,,,,,,
554,2365.497297,390,1492549,98.02,3762.78,,,,,,,,,,,,,,,
555,2422.606360,482,1493031,98.00,3762.78,,,,,,,,,,,,,,,
556,2439.318688,389,1493420,97.86,3762.78,,,,,,,,,,,,,,,
557,2376.604106,388,1493808,97.71,3762.78,,,,,,,,,,,,,,,
558,2407.077875,416,1494224,97.56,3762.78,,,,,,,,,,,,,,,
559,2490.970161,391,1494615,97.57,3762.78,,,,,,,,,,,,,,,
560,2458.190921,456,1495071,97.42,3762.78,,,,,,,,,,,,,,,
561,2389.823792,414,1495485,97.28,3762.78,,,,,,,,,,,,,,,
562,2425.303847,391,1495876,97.14,3762.78,,,,,,,,,,,,,,,
563,2471.310584,392,1496268,96.99,3762.78,,,,,,,,,,,,,,,
564,2537.458002,320,1496588,96.88,3762.78,,,,,,,,,,,,,,,
565,2523.246059,485,1497073,96.98,3762.78,,,,,,,,,,,,,,,
566,2422.257273,412,1497485,96.84,3762.78,,,,,,,,,,,,,,,
