second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
78,0.351821,2813,214305,16.51,41.98,0.255966,3877,297117,11.50,89.86,0.393106,2497,185500,12.60,21.07
79,0.356571,2772,217077,16.54,41.98,0.248439,3997,301114,11.50,89.69,0.396646,2473,187973,12.64,21.07
80,0.355182,2782,219859,16.56,41.98,0.247232,4015,305129,11.50,89.69,0.403769,2432,190405,12.65,21.07
81,0.360512,2743,222602,16.59,41.98,0.263713,3767,308896,11.49,89.52,0.415164,2371,192776,12.67,21.07
82,0.375846,2629,225231,16.61,41.98,0.285843,3477,312373,11.49,89.52,0.429082,2299,195075,12.68,21.07
83,0.387877,2543,227774,16.63,41.98,0.293237,3390,315763,11.49,89.52,0.407734,2428,197503,12.71,21.07
84,0.395282,2489,230263,16.66,41.98,0.283910,3501,319264,11.49,89.52,0.407868,2427,199930,12.73,21.07
85,0.349728,2810,233073,16.68,41.98,0.285688,3479,322743,11.49,89.52,0.413699,2378,202308,12.76,21.07
86,0.354802,2785,235858,16.70,41.98,0.285395,3484,326227,11.49,89.52,0.417190,2357,204665,12.77,21.07
87,0.376244,2625,238483,16.70,41.98,0.323621,3074,329301,11.49,89.52,0.400921,2470,207135,12.80,21.07
88,0.352881,2805,241288,16.72,41.98,0.280266,3547,332848,11.49,89.59,0.401834,2454,209589,12.84,21.07
89,0.356938,2770,244058,16.73,41.98,0.284657,3492,336340,11.49,89.59,0.406234,2418,212007,12.86,21.07
90,0.366649,2696,246754,16.74,41.98,0.282987,3513,339853,11.49,89.59,0.412854,2383,214390,12.88,21.07
91,0.379662,2597,249351,16.75,41.98,0.295087,3370,343223,11.50,89.59,0.419437,2347,216737,12.89,21.07
92,0.415207,2375,251726,16.76,41.98,0.239798,4140,347363,11.51,89.59,0.416988,2359,219096,12.92,21.07
93,0.416386,2370,254096,16.77,41.98,0.250378,3966,351329,11.52,89.59,0.409327,2423,221519,12.93,21.07
94,0.411457,2397,256493,16.76,41.98,0.249607,3978,355307,11.51,89.59,0.405874,2446,223965,12.96,21.07
95,0.414312,2380,258873,16.76,42.08,0.245684,4041,359348,11.51,89.59,0.417164,2379,226344,12.98,21.07
96,0.428860,2299,261172,16.76,42.08,0.249659,3978,363326,11.51,89.59,0.415889,2386,228730,13.01,21.07
97,0.415191,2373,263545,16.77,42.08,0.253044,3925,367251,11.52,89.59,0.424204,2335,231065,13.03,21.07
98,0.405436,2433,265978,16.78,42.08,0.252619,3929,371180,11.52,89.59,0.423432,2339,233404,13.04,21.07
99,0.391827,2523,268501,16.78,42.08,0.249634,3977,375157,11.51,89.68,0.449884,2203,235607,13.06,21.07
100,0.387028,2550,271051,16.79,42.08,0.248648,3994,379151,11.53,89.68,0.466105,2126,237733,13.07,21.07
101,0.397053,2489,273540,16.81,42.08,0.250080,3971,383122,11.54,89.73,0.449520,2203,239936,13.08,21.07
102,0.350466,2828,276368,16.82,42.08,0.241955,4105,387227,11.53,89.73,0.459985,2153,242089,13.10,21.07
103,0.355259,2781,279149,16.84,42.08,0.250200,3970,391197,11.53,89.73,0.471041,2104,244193,13.10,21.07
104,0.363916,2715,281864,16.85,42.08,0.239233,4151,395348,11.52,89.73,0.460480,2150,246343,13.11,21.07
105,0.369785,2673,284537,16.86,42.08,0.247420,4012,399360,11.53,89.73,0.446955,2216,248559,13.12,21.07
106,0.359110,2749,287286,16.86,42.08,0.235274,4220,403580,11.52,89.73,0.443549,2218,250777,13.14,21.07
107,0.355645,2779,290065,16.87,42.08,0.244874,4055,407635,11.51,89.73,0.432329,2277,253054,13.15,21.07
108,0.351015,2815,292880,16.89,42.08,0.241584,4110,411745,11.51,89.73,0.450014,2180,255234,13.16,21.07
109,0.355558,2773,295653,16.89,42.08,0.239781,4145,415890,11.51,89.73,0.410999,2386,257620,13.17,21.07
110,0.354783,2784,298437,16.90,42.19,0.245473,4048,419938,11.51,89.73,0.415041,2365,259985,13.19,21.07
111,0.355739,2778,301215,16.92,42.19,0.240103,4138,424076,11.52,89.73,0.417060,2361,262346,13.20,21.16
112,0.351480,2813,304028,16.93,42.19,0.250943,3962,428038,11.51,89.73,0.417361,2354,264700,13.23,21.16
113,0.360152,2745,306773,16.94,42.27,0.246687,4030,432068,11.52,89.73,0.423630,2321,267021,13.24,21.16
114,0.346857,2851,309624,16.95,42.27,0.263947,3765,435833,11.53,89.73,0.418405,2351,269372,13.26,21.16
115,0.361099,2735,312359,16.96,42.27,0.263049,3776,439609,11.54,89.73,0.416537,2361,271733,13.27,21.16
116,0.362148,2725,315084,16.97,42.27,0.243194,4085,443694,11.54,89.73,0.426824,2304,274037,13.28,21.16
117,0.353806,2792,317876,16.98,42.27,0.246871,4021,447715,11.53,89.73,0.417856,2350,276387,13.29,21.16
118,0.354660,2787,320663,16.99,42.27,0.242271,4096,451811,11.52,89.76,0.418920,2362,278749,13.31,21.16
119,0.360933,2727,323390,17.00,42.27,0.247585,4011,455822,11.53,89.76,0.419899,2359,281108,13.32,21.16
120,0.355430,2771,326161,17.00,42.27,0.255823,3879,459701,11.52,89.76,0.410500,2413,283521,13.34,21.16
121,0.351040,2814,328975,17.01,42.36,0.261563,3799,463500,11.53,89.76,0.411872,2404,285925,13.35,21.16
122,0.355723,2782,331757,17.02,42.36,0.255421,3888,467388,11.53,89.76,0.413223,2398,288323,13.36,21.16
123,0.344980,2867,334624,17.03,42.36,0.248277,4000,471388,11.53,89.76,0.415833,2384,290707,13.38,21.16
124,0.349299,2830,337454,17.04,42.36,0.257910,3851,475239,11.52,89.76,0.410116,2418,293125,13.39,21.16
125,0.346929,2847,340301,17.04,42.36,0.251440,3947,479186,11.52,89.76,0.398122,2493,295618,13.41,21.16
126,0.346263,2851,343152,17.06,42.36,0.275563,3607,482793,11.52,89.76,0.409619,2422,298040,13.42,21.16
127,0.342095,2886,346038,17.06,42.45,0.276246,3598,486391,11.52,89.76,0.410415,2416,300456,13.43,21.16
128,0.352231,2800,348838,17.07,42.45,0.276815,3591,489982,11.53,89.76,0.398601,2489,302945,13.45,21.16
