second,avg_latency_ms_consul,throughput_consul,cumulative_throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_etcd3multi,throughput_etcd3multi,cumulative_throughput_etcd3multi,avg_cpu_etcd3multi,avg_memory_mb_etcd3multi,avg_latency_ms_etcd2,throughput_etcd2,cumulative_throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
55,216.457163,4835,250538,44.84,519.29,76.672755,13180,781755,105.80,477.37,75.415203,13189,803774,101.78,439.36,101.092957,9850,202219,41.81,2036.77,33.894962,29027,1392814,128.98,2376.63
56,214.412666,4672,255210,45.39,533.24,80.821649,12395,794150,107.02,487.07,69.799064,14277,818051,103.11,453.40,192.080706,5571,207790,41.52,2036.77,36.531872,27723,1420537,130.41,2376.63
57,229.037533,4013,259223,45.83,539.93,71.037803,13935,808085,108.12,492.36,75.267682,12857,830908,104.20,457.56,100.528303,8546,216336,41.24,2036.77,34.683395,28754,1449291,131.91,2390.60
58,243.973759,4434,263657,46.20,441.06,67.165516,14892,822977,109.34,498.17,80.351514,12766,843674,105.13,462.31,175.060622,6378,222714,40.96,2036.77,35.387184,26492,1475783,133.57,2390.60
59,217.300430,4522,268179,46.61,447.47,69.017551,13244,836221,110.59,502.85,66.519665,14941,858615,106.25,467.20,116.305013,8435,231149,40.68,2036.77,49.191641,21591,1497374,135.12,2427.08
60,224.534249,4374,272553,47.08,455.78,76.946147,13439,849660,111.80,511.10,79.415194,12628,871243,107.48,474.80,129.258219,6506,237655,40.91,2037.01,46.229891,21533,1518907,136.25,2442.86
61,231.216921,4352,276905,47.60,470.78,91.783394,11440,861100,112.53,514.82,70.617946,13412,884655,108.50,481.98,351.931337,2775,240430,42.80,2037.82,34.041644,15610,1534517,137.28,2467.36
62,221.728453,4608,281513,48.00,479.57,73.665488,13054,874154,113.65,519.72,73.214968,14345,899000,109.57,489.11,462.096848,1899,242329,45.62,2037.99,845.548021,2865,1537382,138.73,2483.68
63,223.211807,4480,285993,48.55,498.32,76.368350,13272,887426,114.91,527.31,80.741377,12251,911251,110.38,494.62,535.835006,1579,243908,48.51,2129.48,265.545920,3009,1540391,140.15,2515.49
64,220.610618,4613,290606,49.18,500.48,72.483722,13759,901185,116.00,537.46,78.263988,12863,924114,111.43,497.78,356.983618,2345,246253,51.59,2239.98,87.004147,13942,1554333,140.45,2516.02
65,228.299993,3984,294590,50.32,626.26,72.216572,14273,915458,117.07,545.48,70.341097,14142,938256,112.62,506.99,138.721566,8610,254863,55.05,2454.82,50.369342,20460,1574793,140.09,2516.02
66,454.724674,2193,296783,50.72,752.17,73.304411,12789,928247,118.20,549.78,72.407246,13880,952136,113.62,513.06,111.048117,9765,264628,58.63,2668.83,39.487400,25321,1600114,140.26,2516.03
67,424.849413,2075,298858,50.93,793.88,90.852753,11534,939781,118.93,553.11,80.266724,12404,964540,114.60,521.95,118.362269,8073,272701,61.87,2901.79,35.706050,27945,1628059,141.66,2527.22
68,631.087560,1248,300106,51.18,822.86,76.174026,12491,952272,120.00,561.54,77.824649,12491,977031,115.37,526.47,410.805392,1838,274539,64.88,3142.12,40.585634,24730,1652789,142.64,2539.09
69,961.264662,997,301103,51.40,840.66,73.940321,14050,966322,121.21,567.33,76.654581,12881,989912,116.29,531.09,506.254553,1999,276538,67.94,3265.11,33.031675,10397,1663186,144.28,2555.56
70,949.593829,984,302087,51.39,843.32,73.537919,13572,979894,122.21,574.66,74.780992,12462,1002374,117.17,533.23,650.054611,1731,278269,71.10,3349.33,723.521878,3552,1666738,145.49,2562.33
71,1160.817951,792,302879,51.53,851.25,72.134956,13982,993876,123.22,577.90,81.458857,13277,1015651,118.11,541.56,145.936662,5026,283295,73.06,3605.74,28.418106,23484,1690222,146.48,2601.94
72,1375.908734,779,303658,51.32,851.25,70.553960,14046,1007922,124.27,582.75,78.778398,12479,1028130,119.07,550.33,264.029129,4381,287676,74.86,3874.88,34.783939,18916,1709138,147.53,2608.79
73,1611.881860,429,304087,51.45,856.18,83.646242,11796,1019718,124.77,589.89,73.627363,12671,1040801,119.83,557.75,559.121030,653,288329,76.30,3919.38,26.596326,25383,1734521,148.15,2629.32
74,1767.778337,695,304782,51.54,857.67,72.270019,13989,1033707,125.68,602.15,78.460850,14128,1054929,120.71,563.06,662.646034,960,289289,77.35,3935.23,45.112451,19980,1754501,150.22,2653.98
75,1737.396645,393,305175,51.34,857.67,74.767601,13240,1046947,126.67,608.71,73.734467,13481,1068410,121.58,569.18,428.681526,892,290181,78.74,4003.78,40.709088,23308,1777809,152.39,2678.60
76,1770.729623,681,305856,51.44,861.21,76.450082,13192,1060139,127.59,614.84,76.633884,12667,1081077,122.40,572.25,715.411732,664,290845,81.38,4004.60,38.991309,24144,1801953,153.40,2680.28
77,1826.425380,485,306341,51.23,862.59,79.576730,12590,1072729,128.48,621.56,75.452674,12034,1093111,123.25,581.28,835.383406,591,291436,84.04,4013.79,39.773536,27167,1829120,154.56,2702.99
78,1786.702843,549,306890,51.37,863.57,74.385157,13445,1086174,129.45,626.90,74.686427,14095,1107206,124.07,584.09,535.352282,621,292057,86.92,4230.00,41.842796,23851,1852971,155.52,2709.31
79,1760.768753,545,307435,51.38,864.44,82.206479,12052,1098226,130.35,633.79,77.278165,13668,1120874,124.92,592.56,439.718017,1225,293282,88.73,4339.15,31.721509,28673,1881644,156.34,2710.48
80,1820.293656,551,307986,51.26,866.05,77.900026,12748,1110974,131.26,640.65,75.364328,13455,1134329,125.76,601.45,545.335100,988,294270,90.85,4640.64,63.546962,17234,1898878,157.63,2700.76
81,1832.920744,677,308663,51.34,869.46,66.440740,15319,1126293,132.33,647.03,76.968784,12825,1147154,126.60,604.94,538.350451,1232,295502,93.01,5239.22,44.411162,22194,1921072,159.15,2702.01
82,1810.205780,428,309091,51.16,873.77,74.263320,12675,1138968,133.26,656.48,94.385778,10549,1157703,127.29,611.11,326.804994,561,296063,94.30,5421.05,35.893411,28127,1949199,160.15,2698.18
83,1848.936064,636,309727,51.46,876.35,67.863387,14530,1153498,134.16,662.61,74.957631,13365,1171068,128.06,618.70,582.757834,606,296669,95.59,5560.47,41.670201,22603,1971802,161.05,2739.27
84,1867.627866,386,310113,51.27,876.35,74.279100,14093,1167591,134.83,668.86,76.377072,13177,1184245,128.82,626.07,548.566308,639,297308,96.19,5560.47,47.123884,22470,1994272,161.94,2761.40
85,1829.547117,734,310847,51.35,876.47,80.067090,11845,1179436,135.55,673.22,77.146886,12671,1196916,129.58,630.11,439.828986,1145,298453,96.38,5560.47,39.263477,25362,2019634,163.08,2769.17
86,1824.745574,343,311190,51.27,876.47,77.205400,13685,1193121,136.44,686.90,70.684914,12748,1209664,130.37,635.74,464.021302,1029,299482,97.03,5564.57,39.641118,24265,2043899,164.29,2792.84
87,1877.738869,678,311868,51.26,876.71,84.612412,11806,1204927,137.24,694.20,82.968542,12465,1222129,130.92,639.54,524.793885,1202,300684,96.60,5564.57,33.224600,18072,2061971,165.49,2838.93
88,1846.463851,497,312365,51.21,876.71,69.990187,12762,1217689,138.11,699.37,70.427691,14186,1236315,131.69,645.58,364.455491,873,301557,96.18,5564.57,1017.309610,1203,2063174,166.36,2860.86
89,1781.811846,545,312910,51.17,876.71,75.655245,14443,1232132,138.70,703.67,67.201797,14402,1250717,132.64,649.75,476.924886,1025,302582,96.08,5564.57,73.369939,18966,2082140,167.28,2893.93
90,1859.600167,521,313431,51.12,876.80,85.142116,11815,1243947,139.48,709.76,71.759016,14265,1264982,133.57,660.48,617.892848,646,303228,96.44,5564.57,58.991961,12897,2095037,168.17,2925.21
91,1886.012598,549,313980,51.09,876.80,86.864763,10388,1254335,140.18,718.47,69.860799,13060,1278042,134.39,666.36,600.918224,791,304019,96.78,5564.57,83.655439,7126,2102163,168.98,2925.21
92,1802.388071,678,314658,51.03,876.80,73.267866,14835,1269170,141.10,723.07,75.939185,14982,1293024,135.17,672.78,569.422862,845,304864,97.11,5564.57,679.446939,2268,2104431,169.76,2950.47
93,1776.208306,399,315057,51.01,877.02,71.521279,13751,1282921,141.63,725.65,73.203689,13877,1306901,135.87,679.52,356.644274,1151,306015,97.43,5568.67,41.633721,26624,2131055,169.98,2970.31
94,1882.671160,667,315724,50.95,877.67,81.969858,12486,1295407,142.35,731.05,79.881711,12718,1319619,136.62,682.73,600.364847,962,306977,97.50,5568.67,44.165167,21132,2152187,170.04,2973.92
95,1875.687290,392,316116,51.03,878.25,74.818658,13389,1308796,143.28,740.67,75.945056,12423,1332042,137.21,690.60,419.732986,800,307777,97.13,5568.67,44.720006,25446,2177633,170.68,2983.29
96,1779.992705,735,316851,50.88,879.69,88.815093,11154,1319950,144.10,748.77,81.871370,12898,1344940,138.02,695.56,618.363370,653,308430,96.86,5568.67,36.067615,27855,2205488,172.06,3020.36
97,1994.862437,265,317116,51.06,881.63,66.062134,12895,1332845,144.53,750.51,79.768621,12518,1357458,138.64,705.45,569.378067,377,308807,96.50,5568.67,43.463171,22918,2228406,173.26,3034.77
98,2005.227699,725,317841,50.96,881.63,75.149603,15291,1348136,145.39,754.28,76.153968,13206,1370664,139.35,710.01,488.904731,146,308953,96.19,5568.67,72.190866,13181,2241587,173.27,3035.76
99,1821.779825,407,318248,51.08,881.93,83.071563,11936,1360072,146.17,762.79,76.663928,13033,1383697,140.07,717.17,773.374726,226,309179,96.04,5568.67,44.603225,21248,2262835,173.98,3055.21
100,1777.612743,627,318875,50.92,882.03,81.684296,12332,1372404,147.01,772.67,61.064859,13951,1397648,140.76,722.30,622.155262,247,309426,96.17,5568.67,47.396670,23268,2286103,174.72,3061.32
101,1740.712203,558,319433,51.02,884.12,70.463990,14313,1386717,147.48,775.88,74.139430,15280,1412928,141.51,726.51,325.053625,249,309675,96.35,5657.42,43.086244,23120,2309223,175.91,3061.08
102,1814.478623,475,319908,50.85,884.27,81.499838,11409,1398126,148.27,783.20,71.170127,14039,1426967,142.37,733.55,567.673378,94,309769,96.84,5657.42,36.803782,27200,2336423,177.02,3059.94
103,1798.226918,634,320542,50.95,885.31,71.732741,14567,1412693,148.83,789.95,83.557202,12083,1439050,143.00,740.75,965.650121,144,309913,97.13,5746.19,42.283753,21105,2357528,178.06,3063.37
104,1744.467017,548,321090,50.78,885.31,88.260902,11199,1423892,149.37,797.90,83.092976,11394,1450444,143.65,745.25,755.772372,128,310041,97.27,5746.19,37.817395,23836,2381364,178.34,3065.03
105,1737.569338,642,321732,50.87,885.73,90.227961,11068,1434960,150.05,800.62,76.753681,13571,1464015,144.43,753.81,930.627925,141,310182,97.04,5746.19,152.356102,9647,2391011,179.01,3061.04
106,1815.597057,516,322248,50.69,885.73,72.980382,13375,1448335,150.84,807.63,74.488302,12242,1476257,145.11,759.55,1361.302007,188,310370,96.65,5746.19,30.555979,21702,2412713,179.41,3057.17
107,1763.940126,585,322833,50.79,886.87,69.538146,14668,1463003,151.46,814.49,79.942201,13514,1489771,145.71,763.93,763.503811,226,310596,96.23,5746.19,58.150853,15631,2428344,180.34,3055.26
108,1719.804646,598,323431,50.75,886.87,89.266018,11444,1474447,152.00,818.29,70.866191,13595,1503366,146.37,769.63,637.584119,263,310859,95.80,5746.19,44.584338,23805,2452149,181.07,3053.80
109,1747.883949,509,323940,50.72,887.42,75.113048,13383,1487830,152.97,825.30,73.931572,14082,1517448,147.22,776.63,633.122881,126,310985,95.39,5746.19,40.753236,25863,2478012,181.93,3062.83
110,1738.548523,603,324543,50.69,888.03,67.510130,12946,1500776,153.57,832.20,80.801150,12121,1529569,147.99,786.15,273.831877,1200,312185,94.95,5746.19,40.701311,25688,2503700,182.47,3080.25
111,1715.746938,578,325121,50.82,888.45,79.824883,13879,1514655,154.28,836.25,74.162372,12668,1542237,148.34,791.13,91.835668,9696,321881,94.55,5746.19,42.465297,23594,2527294,183.15,3093.98
112,1800.717014,544,325665,50.85,888.61,100.120414,10040,1524695,155.14,840.99,72.626156,14766,1557003,149.06,794.22,131.270878,6088,327969,94.12,5746.19,40.567641,20223,2547517,184.38,3119.79
113,1816.405628,562,326227,50.74,888.61,73.877359,13393,1538088,155.77,848.08,77.678457,13005,1570008,149.97,800.04,106.184557,6156,334125,93.72,5746.19,42.941046,27209,2574726,185.44,3119.61
114,1737.788526,655,326882,50.83,888.75,71.457456,13800,1551888,156.53,853.87,80.679086,12019,1582027,150.62,807.58,157.587168,5313,339438,93.30,5746.19,40.526086,24810,2599536,186.19,3140.25
115,1753.693274,506,327388,50.68,889.07,86.406629,10588,1562476,157.36,861.10,63.488566,11928,1593955,151.11,814.52,280.680805,2893,342331,92.90,5746.19,39.164782,23127,2622663,187.00,3141.33
116,1811.752504,540,327928,50.77,890.25,78.442616,10646,1573122,157.63,866.93,83.512230,15132,1609087,151.81,820.10,222.391552,4201,346532,92.50,5746.19,44.048217,22873,2645536,188.05,3163.85
117,1726.536291,582,328510,50.62,890.25,95.994636,13126,1586248,158.49,871.90,85.917661,11476,1620563,152.39,825.86,125.022340,8037,354569,92.10,5746.19,59.632288,13628,2659164,188.95,3174.07
118,1751.844955,559,329069,50.72,890.25,72.739239,13726,1599974,159.21,878.64,72.830167,13321,1633884,153.03,832.23,213.803167,5254,359823,91.71,5746.19,105.882872,8391,2667555,189.84,3191.11
119,1837.487571,540,329609,50.56,890.52,88.324379,11017,1610991,159.86,885.48,67.390199,12208,1646092,153.75,838.85,275.138559,2864,362687,91.32,5746.19,69.294447,19313,2686868,190.76,3228.73
120,1792.940707,567,330176,50.66,890.95,73.271653,12852,1623843,160.68,892.62,87.712417,13638,1659730,154.32,843.37,146.073875,6884,369571,91.15,5746.19,103.636418,9034,2695902,191.49,3247.94
121,1725.206716,629,330805,50.50,890.95,79.711068,13638,1637481,161.10,896.61,71.895425,13613,1673343,154.83,847.63,593.832712,851,370422,91.93,5746.29,48.540569,23427,2719329,192.19,3291.42
122,1758.352002,554,331359,50.60,891.19,78.420604,10292,1647773,161.92,904.83,86.526421,11924,1685267,155.63,862.25,555.380479,1367,371789,93.20,5747.61,59.072668,14719,2734048,192.98,3341.01
123,1822.499220,556,331915,50.44,891.60,82.424818,14425,1662198,162.33,909.25,63.465271,15250,1700517,156.15,868.44,532.636534,669,372458,95.02,5748.89,99.546557,10950,2744998,193.28,3356.57
124,1733.017639,537,332452,50.55,893.62,101.457953,9870,1672068,163.00,913.56,70.965217,14018,1714535,156.76,871.71,627.911458,1136,373594,96.73,5748.89,38.645947,27580,2772578,193.69,3401.31
125,1765.391049,565,333017,50.53,897.16,58.017609,13918,1685986,164.05,926.31,102.599782,10104,1724639,157.54,876.34,505.141099,1696,375290,98.66,5749.27,38.118717,26191,2798769,194.47,3411.21
