second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv3_go1.6,throughput_etcdv3_go1.6,cumulative_throughput_etcdv3_go1.6,avg_cpu_etcdv3_go1.6,avg_memory_mb_etcdv3_go1.6,avg_latency_ms_etcdv3_go1.5,throughput_etcdv3_go1.5,cumulative_throughput_etcdv3_go1.5,avg_cpu_etcdv3_go1.5,avg_memory_mb_etcdv3_go1.5,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
1532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6621.367197,194,1910862,61.85,4978.05
1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6615.504830,194,1911056,61.82,4978.05
1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6690.455234,67,1911123,61.79,4978.05
1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6677.438902,190,1911313,61.75,4978.05
1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6828.111524,71,1911384,61.72,4978.05
1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6842.120623,193,1911577,61.68,4978.05
1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6889.959216,92,1911669,61.65,4978.05
1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6984.790073,129,1911798,61.62,4978.05
1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7079.016488,195,1911993,61.58,4978.05
1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7124.590285,130,1912123,61.55,4978.05
1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7047.390334,190,1912313,61.51,4978.05
1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7002.119250,70,1912383,61.48,4978.05
1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7195.121991,126,1912509,61.47,4978.05
1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7315.940012,158,1912667,61.48,4981.57
1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7401.023696,68,1912735,61.51,4981.57
1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8010.348084,1,1912736,61.54,4981.57
1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9301.652647,3,1912739,61.50,4981.57
1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1912739,61.46,4981.57
1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10547.578587,189,1912928,61.43,4981.57
1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10552.438535,132,1913060,61.40,4981.57
1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10549.292335,67,1913127,61.36,4981.57
1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10556.447904,252,1913379,61.33,4981.57
1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10549.350462,71,1913450,61.30,4981.57
1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10556.590355,127,1913577,61.26,4981.57
1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10774.722171,92,1913669,61.22,4981.57
1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10632.505822,71,1913740,61.19,4981.57
1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7903.774905,186,1913926,61.16,4981.57
1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8022.187303,136,1914062,61.12,4981.57
1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8030.033524,63,1914125,61.08,4981.57
1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8505.846908,131,1914256,61.14,4981.57
1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8840.337733,124,1914380,61.15,4983.46
1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9032.382714,7,1914387,61.11,4983.46
1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9369.479869,122,1914509,61.09,4983.46
1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9667.088483,129,1914638,61.05,4983.46
1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9839.218366,31,1914669,61.02,4983.46
1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9840.781882,128,1914797,60.98,4983.46
1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9833.770859,134,1914931,60.95,4983.46
1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9835.422739,132,1915063,60.91,4983.46
1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9840.178954,62,1915125,60.88,4983.46
1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9817.440770,132,1915257,60.84,4983.70
1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9889.082659,124,1915381,60.81,4983.70
1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9846.954967,68,1915449,60.77,4983.70
1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9835.082802,65,1915514,60.73,4983.70
1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901.243321,125,1915639,60.70,4983.70
1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9939.989090,31,1915670,60.73,4983.70
1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9959.834573,128,1915798,60.76,4985.15
1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9824.729125,138,1915936,60.73,4985.15
1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9830.494955,184,1916120,60.70,4985.15
1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9793.181245,7,1916127,60.67,4985.40
1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9833.018740,131,1916258,60.63,4985.40
1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9899.344166,125,1916383,60.60,4985.40
1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9814.150502,66,1916449,60.57,4985.40
1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9883.267587,126,1916575,60.56,4985.40
1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9817.526998,64,1916639,60.57,4985.40
1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9816.095066,96,1916735,60.53,4985.40
1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9825.555544,128,1916863,60.50,4985.40
1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9826.551126,73,1916936,60.47,4985.40
1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9910.122709,185,1917121,60.44,4985.40
1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9811.210641,70,1917191,60.40,4985.47
1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9889.959696,70,1917261,60.46,4987.71
1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9937.124829,124,1917385,60.47,4987.71
1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9802.660964,69,1917454,60.43,4987.71
1594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9869.408663,123,1917577,60.40,4987.71
1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9803.010067,65,1917642,60.37,4987.71
1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9799.759483,94,1917736,60.33,4987.71
1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9863.017021,128,1917864,60.30,4987.71
1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9929.524531,131,1917995,60.27,4987.71
1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9925.058052,128,1918123,60.29,4987.71
1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9918.193970,68,1918191,60.27,4987.71
1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9945.194118,125,1918316,60.24,4987.71
1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9917.734863,71,1918387,60.21,4987.71
1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9915.533158,67,1918454,60.17,4987.71
1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9919.114067,125,1918579,60.14,4987.71
1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9916.489843,64,1918643,60.11,4987.71
1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9917.719908,93,1918736,60.19,4987.71
1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9916.925778,129,1918865,60.18,4988.39
1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9977.749527,130,1918995,60.15,4988.39
1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9977.488331,128,1919123,60.11,4988.39
1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9924.007131,68,1919191,60.09,4988.39
1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9978.109588,125,1919316,60.05,4988.39
1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9920.264157,72,1919388,60.02,4988.39
1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10036.596646,68,1919456,60.01,4988.39
1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9976.673002,123,1919579,60.06,4989.76
1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9919.396218,90,1919669,60.05,4989.76
1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9918.171759,68,1919737,60.04,4989.76
1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9924.737845,127,1919864,60.08,4989.76
1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9925.572319,131,1919995,60.08,4989.76
1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9988.551618,128,1920123,60.07,4989.76
1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9921.027995,68,1920191,60.06,4989.76
1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9989.826236,126,1920317,60.11,4989.76
1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10048.058931,72,1920389,60.10,4989.76
1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10050.054749,67,1920456,60.08,4989.76
1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9946.306008,124,1920580,60.05,4989.76
1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9958.409746,63,1920643,60.02,4989.76
1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10005.169940,95,1920738,60.06,4989.76
1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9994.652405,126,1920864,60.03,4989.76
1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10068.372495,132,1920996,60.00,4989.76
1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10087.349238,127,1921123,60.03,4989.76
1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10173.704954,68,1921191,60.02,4989.76
1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10171.489936,72,1921263,60.01,4989.76
1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10259.374632,125,1921388,60.01,4989.76
1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10081.846028,68,1921456,60.05,4989.76
1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10068.578548,122,1921578,60.04,4990.44
1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9937.865884,66,1921644,60.03,4990.44
1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9943.428265,94,1921738,60.02,4990.44
1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.697702,127,1921865,60.01,4990.44
1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9942.763606,130,1921995,60.00,4990.44
1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928.288508,73,1922068,59.98,4990.44
1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10011.663691,123,1922191,60.03,4990.53
1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10067.665211,72,1922263,60.07,4996.14
1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10071.396231,122,1922385,60.05,4996.14
1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10067.950515,6,1922391,60.02,4996.14
1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10751.253093,188,1922579,60.05,4996.82
1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922579,60.02,4996.82
1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922579,59.99,4996.82
1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922579,59.96,4996.82
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11359.191373,352,1922931,59.94,4996.82
1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.93,4996.82
1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.92,4996.82
1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.90,4996.82
1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.89,4996.82
1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.90,4996.82
1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.94,4996.82
1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.92,4996.82
1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.91,4996.82
1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.89,4996.82
1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.87,4996.82
1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.83,4996.82
1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1922931,59.79,4996.82
1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18412.909474,812,1923743,59.76,4996.82
1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1923743,59.73,4996.82
1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1923743,59.70,4996.82
1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16475.194262,1,1923744,59.67,4996.82
1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1923744,59.64,4996.82
1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1923744,59.62,4996.82
1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1923744,59.58,4996.82
1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1923744,59.57,4996.82
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1923744,59.55,4996.82
1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22025.794027,194,1923938,59.53,4996.82
1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9890.610050,455,1924393,59.51,4996.82
1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8862.911230,455,1924848,59.47,4997.50
1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2237.687219,455,1925303,59.45,4997.50
1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.677802,520,1925823,59.48,4997.50
1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.110095,390,1926213,59.46,4997.50
1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238.025289,520,1926733,59.44,4997.50
1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.132112,455,1927188,59.41,4997.50
1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.233573,453,1927641,59.39,4997.50
1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110.430183,520,1928161,59.36,4997.50
1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2292.343533,453,1928614,59.34,4997.50
1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180.028820,326,1928940,59.37,4997.50
1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556.943783,389,1929329,59.41,5001.09
1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145.003613,64,1929393,59.38,5001.09
1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3808.243479,1,1929394,59.35,5001.09
1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929394,59.31,5001.09
1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929394,59.28,5001.09
1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6253.958022,64,1929458,59.25,5001.09
1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929458,59.21,5001.09
1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929458,59.18,5001.09
1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9268.014810,1,1929459,59.15,5001.09
1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929459,59.12,5001.09
1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12045.584741,64,1929523,59.08,5001.09
1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929523,59.04,5001.09
1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929523,59.01,5001.09
1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929523,58.98,5001.09
1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15486.735548,1,1929524,59.01,5001.09
1697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929524,58.98,5001.09
1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929524,58.94,5001.09
1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1929524,58.91,5001.09
1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19315.418288,64,1929588,58.88,5001.09
1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20561.482269,164,1929752,58.85,5001.09
1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20294.417022,448,1930200,58.82,5001.09
1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19352.602978,260,1930460,58.80,5001.09
1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610.178476,228,1930688,58.77,5001.09
1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053.777218,512,1931200,58.74,5001.09
1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3052.250429,259,1931459,58.72,5001.09
1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3381.951265,129,1931588,58.74,5001.09
1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3754.990513,164,1931752,58.72,5001.09
1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215.062057,256,1932008,58.69,5001.09
1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704.442002,194,1932202,58.66,5001.09
1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170.999891,253,1932455,58.70,5001.09
1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5472.591149,7,1932462,58.67,5001.09
1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5718.265235,128,1932590,58.65,5001.09
1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6095.013819,99,1932689,58.62,5001.09
1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6396.613342,130,1932819,58.59,5001.09
1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6733.664688,127,1932946,58.56,5001.09
1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7150.447630,163,1933109,58.59,5001.09
1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8018.033163,102,1933211,58.56,5001.09
1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7536.048001,313,1933524,58.60,5001.09
1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6876.039371,66,1933590,58.57,5001.09
1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7113.974108,98,1933688,58.54,5001.09
1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7315.585960,69,1933757,58.51,5001.09
1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7606.871893,124,1933881,58.48,5001.09
1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8007.361224,65,1933946,58.45,5001.09
1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8301.711663,126,1934072,58.42,5001.09
1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8696.804365,39,1934111,58.48,5001.09
1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9012.845203,14,1934125,58.49,5001.09
1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9674.409423,127,1934252,58.46,5001.09
1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10264.494142,22,1934274,58.43,5001.09
1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11066.725219,192,1934466,58.40,5001.30
1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11348.216118,64,1934530,58.38,5001.30
1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11486.511856,64,1934594,58.35,5001.30
1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11857.492195,95,1934689,58.32,5001.30
1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11984.891332,67,1934756,58.35,5001.30
1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12249.283013,64,1934820,58.32,5001.30
1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12644.640857,64,1934884,58.29,5001.30
1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13038.623536,62,1934946,58.26,5001.30
1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13304.634957,67,1935013,58.23,5001.30
1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13173.081911,69,1935082,58.20,5001.30
1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13311.221808,35,1935117,58.18,5001.30
1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13535.563190,32,1935149,58.26,5001.30
1742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13606.266555,111,1935260,58.24,5001.30
1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13674.691330,143,1935403,58.21,5001.30
1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13554.511112,123,1935526,58.19,5001.30
1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13566.543677,63,1935589,58.18,5001.30
1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13658.462779,39,1935628,58.17,5001.30
1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13562.950049,64,1935692,58.16,5001.30
1748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13569.204253,66,1935758,58.15,5001.30
1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13689.107209,65,1935823,58.20,5001.30
1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13765.301995,66,1935889,58.24,5001.30
1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13565.651109,59,1935948,58.24,5001.30
1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13633.076859,126,1936074,58.23,5001.30
1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13641.832447,38,1936112,58.22,5001.30
1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13566.952224,11,1936123,58.21,5001.30
1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13626.247382,90,1936213,58.19,5001.30
1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13606.236921,61,1936274,58.23,5004.66
1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13688.620904,192,1936466,58.20,5004.66
1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13721.410830,63,1936529,58.17,5004.66
1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13603.406644,64,1936593,58.14,5004.66
1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13606.732850,39,1936632,58.11,5004.66
1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13687.660720,123,1936755,58.14,5004.66
1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13738.897409,65,1936820,58.12,5004.66
1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13406.652880,63,1936883,58.09,5004.66
1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13613.319051,62,1936945,58.12,5004.66
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13625.138871,69,1937014,58.09,5004.66
1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13516.745295,69,1937083,58.07,5004.66
1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13519.039703,34,1937117,58.04,5004.66
1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13420.448801,32,1937149,58.01,5004.66
1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13445.333536,113,1937262,57.98,5004.66
1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13379.948591,17,1937279,57.95,5004.66
1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13564.493451,246,1937525,57.98,5004.66
1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13489.443811,63,1937588,57.96,5004.66
1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13456.401695,42,1937630,57.92,5004.66
1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13395.176251,2,1937632,57.90,5004.66
1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13759.088928,121,1937753,57.87,5004.66
1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1937753,57.84,5004.66
1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14314.397805,133,1937886,57.82,5004.66
