second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv3_go1.6,throughput_etcdv3_go1.6,cumulative_throughput_etcdv3_go1.6,avg_cpu_etcdv3_go1.6,avg_memory_mb_etcdv3_go1.6,avg_latency_ms_etcdv3_go1.5,throughput_etcdv3_go1.5,cumulative_throughput_etcdv3_go1.5,avg_cpu_etcdv3_go1.5,avg_memory_mb_etcdv3_go1.5,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
63,27.103582,22440,1298852,224.98,2098.04,17.715833,37579,1319903,217.06,2112.29,,,,,,,,,,,34.531257,28912,1955244,398.53,768.67,355.504667,1495,106170,23.37,580.15,93.145491,10476,590026,225.34,817.00
64,588.859874,679,1299531,223.82,2109.04,17.358302,38392,1358295,219.37,2125.01,,,,,,,,,,,33.178143,29718,1984962,399.11,784.48,314.481025,2126,108296,23.73,659.57,128.030300,7808,597834,225.50,834.38
65,0.000000,0,1299531,221.83,2109.04,17.876659,37313,1395608,221.52,2126.54,,,,,,,,,,,29.367038,15038,,,,352.338004,1407,109703,23.67,659.57,100.501326,9842,607676,225.69,856.47
66,134.287062,11921,1311452,219.77,2114.31,16.273651,40936,1436544,223.45,2144.66,,,,,,,,,,,,,,,,499.643787,1188,110891,23.52,659.57,121.154928,8186,615862,225.96,865.07
67,16.271636,41580,1353032,218.87,2119.57,14.718466,43807,1480351,225.24,2146.11,,,,,,,,,,,,,,,,387.468864,105,110996,23.61,659.66,106.526266,9552,625414,226.07,888.20
68,16.964282,41807,1394839,219.94,2119.57,381.802503,1163,1481514,226.93,2168.61,,,,,,,,,,,,,,,,527.038168,1287,112283,23.85,665.59,99.647859,10057,635471,226.81,910.52
69,18.960464,35121,1429960,221.38,2134.77,128.784053,4266,1485780,226.21,2193.09,,,,,,,,,,,,,,,,347.874514,1494,113777,24.14,668.85,126.644917,7818,643289,226.95,925.60
70,14.112148,47164,1477124,224.63,2351.57,0.000000,0,1485780,224.16,2193.90,,,,,,,,,,,,,,,,435.772925,1512,115289,24.44,669.20,94.066670,10735,654024,227.05,941.11
71,24.440095,27253,1504377,227.63,2352.58,0.000000,0,1485780,222.58,2199.36,,,,,,,,,,,,,,,,339.182078,2245,117534,24.48,669.31,104.223121,8096,662120,227.70,960.32
72,15.856297,6781,1511158,229.98,2387.86,0.000000,0,1485780,220.77,2199.47,,,,,,,,,,,,,,,,347.498968,1110,118644,24.36,669.99,122.614769,9215,671335,227.77,976.16
