2016-05-14 22:26:53.445267 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000002785.snap successfully
2016-05-14 22:26:53.445335 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000005002.snap successfully
2016-05-14 22:26:53.445380 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000779a.snap successfully
2016-05-14 22:26:53.445421 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000009ed4.snap successfully
2016-05-14 22:26:53.445462 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000c6f5.snap successfully
2016-05-14 22:26:53.445499 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000efb5.snap successfully
2016-05-14 22:26:53.445541 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001173e.snap successfully
2016-05-14 22:26:53.445580 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000013eae.snap successfully
2016-05-14 22:26:53.445634 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000165d0.snap successfully
2016-05-14 22:26:53.445679 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000018dfd.snap successfully
2016-05-14 22:26:53.445724 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001b51d.snap successfully
2016-05-14 22:26:53.445767 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001dc34.snap successfully
2016-05-14 22:26:53.445812 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000020368.snap successfully
2016-05-14 22:26:53.445855 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000022ad7.snap successfully
2016-05-14 22:26:53.445900 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002521d.snap successfully
2016-05-14 22:26:53.445940 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000027bf3.snap successfully
2016-05-14 22:26:53.445976 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002a3c2.snap successfully
2016-05-14 22:26:53.446019 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002cb0f.snap successfully
2016-05-14 22:26:53.446065 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002f241.snap successfully
2016-05-14 22:26:53.446113 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000003196c.snap successfully
2016-05-14 22:26:53.446159 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000340e5.snap successfully
2016-05-14 22:26:53.446211 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000003682a.snap successfully
