second,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4
153,,,,,,,,,,,0.000000,0,203222,31.16,1273.07
154,,,,,,,,,,,680.461178,333,203555,31.03,1273.07
155,,,,,,,,,,,0.000000,0,203555,31.18,1273.07
156,,,,,,,,,,,0.000000,0,203555,31.42,1273.07
157,,,,,,,,,,,315.722179,743,204298,31.69,1273.31
158,,,,,,,,,,,424.497547,1577,205875,31.78,1276.74
159,,,,,,,,,,,301.732702,1489,207364,31.72,1276.81
160,,,,,,,,,,,466.773971,1276,208640,31.62,1276.81
161,,,,,,,,,,,322.459252,1069,209709,31.60,1276.81
162,,,,,,,,,,,0.000000,0,209709,31.67,1277.06
163,,,,,,,,,,,0.000000,0,209709,31.70,1277.06
164,,,,,,,,,,,0.000000,0,209709,31.56,1277.06
165,,,,,,,,,,,572.345601,1179,210888,31.56,1277.06
166,,,,,,,,,,,0.000000,0,210888,31.74,1277.06
167,,,,,,,,,,,0.000000,0,210888,31.95,1340.82
168,,,,,,,,,,,409.478483,1460,212348,32.11,1395.25
169,,,,,,,,,,,388.873378,1521,213869,32.07,1395.25
170,,,,,,,,,,,0.000000,0,213869,32.10,1395.25
171,,,,,,,,,,,44.788981,1552,215421,32.18,1395.34
172,,,,,,,,,,,59.462508,2174,217595,32.39,1395.34
173,,,,,,,,,,,0.000000,0,217595,32.63,1395.34
174,,,,,,,,,,,0.000000,0,217595,32.80,1412.54
175,,,,,,,,,,,633.796510,32,217627,32.83,1465.95
176,,,,,,,,,,,363.608844,2363,219990,32.88,1465.95
177,,,,,,,,,,,274.747847,2022,222012,32.84,1465.95
178,,,,,,,,,,,223.343962,1487,223499,32.83,1470.12
179,,,,,,,,,,,0.000000,0,223499,32.89,1470.21
180,,,,,,,,,,,0.000000,0,223499,33.08,1470.30
181,,,,,,,,,,,0.000000,0,223499,33.27,1491.98
182,,,,,,,,,,,495.377487,282,223781,33.32,1492.07
183,,,,,,,,,,,0.000000,0,223781,33.32,1492.07
184,,,,,,,,,,,219.302614,838,224619,33.46,1498.77
185,,,,,,,,,,,291.431841,2296,226915,33.55,1502.02
186,,,,,,,,,,,428.837092,1003,227918,33.50,1502.02
187,,,,,,,,,,,289.974004,2143,230061,33.41,1502.02
188,,,,,,,,,,,397.371009,1016,231077,33.37,1502.02
189,,,,,,,,,,,0.000000,0,231077,33.42,1502.02
190,,,,,,,,,,,0.000000,0,231077,33.57,1502.10
191,,,,,,,,,,,0.000000,0,231077,33.74,1527.83
192,,,,,,,,,,,716.193190,325,231402,33.85,1565.47
193,,,,,,,,,,,0.000000,0,231402,33.81,1565.47
194,,,,,,,,,,,181.981206,1084,232486,33.87,1565.47
195,,,,,,,,,,,404.317208,1569,234055,33.98,1567.60
196,,,,,,,,,,,318.888415,1994,236049,34.04,1567.60
197,,,,,,,,,,,371.792664,1447,237496,33.95,1567.60
198,,,,,,,,,,,330.688008,1215,238711,33.90,1567.60
199,,,,,,,,,,,0.000000,0,238711,33.98,1567.60
200,,,,,,,,,,,0.000000,0,238711,34.15,1567.68
