second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
101,2.189055,455,48631,51.73,105.19,1.988230,502,47906,27.39,212.40,1.880973,531,49569,25.85,204.43
102,2.105054,472,49103,51.83,105.70,1.988556,502,48408,27.36,212.40,2.001288,499,50068,25.83,204.43
103,2.228198,447,49550,51.86,106.02,1.953081,511,48919,27.32,212.40,1.939410,515,50583,25.93,208.45
104,2.269824,439,49989,51.92,107.00,2.011959,498,49417,27.31,213.47,1.958400,510,51093,25.91,208.45
105,2.283898,436,50425,51.93,108.81,2.004683,498,49915,27.27,216.20,1.896945,528,51621,25.91,208.48
106,2.277188,437,50862,51.93,110.05,2.058165,485,50400,27.31,216.89,1.942754,514,52135,25.88,208.48
107,2.196887,453,51315,51.94,110.99,2.016629,496,50896,27.30,216.90,1.956664,511,52646,25.85,208.48
108,2.213122,450,51765,51.97,111.42,2.206005,453,51349,27.32,217.25,2.045911,488,53134,25.85,209.31
109,2.227715,447,52212,51.99,111.42,2.284354,437,51786,27.48,217.39,1.940893,515,53649,25.91,210.42
110,2.395780,415,52627,52.00,111.42,2.255830,443,52229,27.47,217.42,1.971007,507,54156,25.88,210.42
111,2.632755,379,53006,52.00,111.70,2.387736,419,52648,27.52,218.10,1.930736,517,54673,25.86,210.42
112,2.705610,367,53373,51.99,111.70,2.279444,438,53086,27.52,218.10,1.869695,535,55208,25.85,210.42
113,2.541417,393,53766,51.96,112.30,2.524029,396,53482,27.58,218.86,1.954407,511,55719,25.86,214.38
